比較期間,學年度,地區,班別或年級,出生區間,期初人口,期末人口,人口增減,增減率,資料完整性
113-12～114-12,114,新竹市,國中一年級,101-09～102-08,,5662,,,基期不足
113-12～114-12,114,苗栗縣,國中一年級,101-09～102-08,,4890,,,基期不足
113-12～114-12,114,新竹市,國中二年級,100-09～101-08,,5910,,,基期不足
113-12～114-12,114,苗栗縣,國中二年級,100-09～101-08,,5223,,,基期不足
113-12～114-12,114,新竹市,國小一年級,107-09～108-08,,4598,,,基期不足
113-12～114-12,114,苗栗縣,國小一年級,107-09～108-08,,4122,,,基期不足
113-12～114-12,114,新竹市,國小三年級,105-09～106-08,,5167,,,基期不足
113-12～114-12,114,苗栗縣,國小三年級,105-09～106-08,,4648,,,基期不足
113-12～114-12,114,新竹市,國小二年級,106-09～107-08,,4791,,,基期不足
113-12～114-12,114,苗栗縣,國小二年級,106-09～107-08,,4355,,,基期不足
113-12～114-12,114,新竹市,國小五年級,103-09～104-08,,5823,,,基期不足
113-12～114-12,114,苗栗縣,國小五年級,103-09～104-08,,5038,,,基期不足
113-12～114-12,114,新竹市,國小六年級,102-09～103-08,,5710,,,基期不足
113-12～114-12,114,苗栗縣,國小六年級,102-09～103-08,,4827,,,基期不足
113-12～114-12,114,新竹市,國小四年級,104-09～105-08,,5550,,,基期不足
113-12～114-12,114,苗栗縣,國小四年級,104-09～105-08,,4925,,,基期不足
113-12～114-12,114,新竹市,幼兒園中班,109-09～110-08,,4039,,,基期不足
113-12～114-12,114,苗栗縣,幼兒園中班,109-09～110-08,,3428,,,基期不足
113-12～114-12,114,新竹市,幼兒園大班,108-09～109-08,,4254,,,基期不足
113-12～114-12,114,苗栗縣,幼兒園大班,108-09～109-08,,3757,,,基期不足
113-12～114-12,114,新竹市,幼兒園小班,110-09～111-08,,3674,,,基期不足
113-12～114-12,114,苗栗縣,幼兒園小班,110-09～111-08,,2972,,,基期不足
113-12～114-12,114,新竹市,幼幼班,111-09～112-08,,3404,,,基期不足
113-12～114-12,114,苗栗縣,幼幼班,111-09～112-08,,2722,,,基期不足
114-06～115-06,114,新竹縣,國中一年級,101-09～102-08,,7064,,,基期不足
114-06～115-06,114,新竹市,國中一年級,101-09～102-08,,5949,,,基期不足
114-06～115-06,114,苗栗縣,國中一年級,101-09～102-08,5080,5085,5,0.10%,年中暫估
114-06～115-06,114,三區合計,國中一年級,101-09～102-08,,18098,,,地區狀態不一致
114-06～115-06,114,新竹縣,國中二年級,100-09～101-08,,7024,,,基期不足
114-06～115-06,114,新竹市,國中二年級,100-09～101-08,,5681,,,基期不足
114-06～115-06,114,苗栗縣,國中二年級,100-09～101-08,5054,5052,-2,-0.04%,年中暫估
114-06～115-06,114,三區合計,國中二年級,100-09～101-08,,17757,,,地區狀態不一致
114-06～115-06,114,新竹縣,國小一年級,107-09～108-08,,5966,,,基期不足
114-06～115-06,114,新竹市,國小一年級,107-09～108-08,,4545,,,基期不足
114-06～115-06,114,苗栗縣,國小一年級,107-09～108-08,4082,4118,36,0.88%,年中暫估
114-06～115-06,114,三區合計,國小一年級,107-09～108-08,,14629,,,地區狀態不一致
114-06～115-06,114,新竹縣,國小三年級,105-09～106-08,,6692,,,基期不足
114-06～115-06,114,新竹市,國小三年級,105-09～106-08,,5127,,,基期不足
114-06～115-06,114,苗栗縣,國小三年級,105-09～106-08,4642,4648,6,0.13%,年中暫估
114-06～115-06,114,三區合計,國小三年級,105-09～106-08,,16467,,,地區狀態不一致
114-06～115-06,114,新竹縣,國小二年級,106-09～107-08,,6260,,,基期不足
114-06～115-06,114,新竹市,國小二年級,106-09～107-08,,4852,,,基期不足
114-06～115-06,114,苗栗縣,國小二年級,106-09～107-08,4448,4469,21,0.47%,年中暫估
114-06～115-06,114,三區合計,國小二年級,106-09～107-08,,15581,,,地區狀態不一致
114-06～115-06,114,新竹縣,國小五年級,103-09～104-08,,6997,,,基期不足
114-06～115-06,114,新竹市,國小五年級,103-09～104-08,,5859,,,基期不足
114-06～115-06,114,苗栗縣,國小五年級,103-09～104-08,5116,5102,-14,-0.27%,年中暫估
114-06～115-06,114,三區合計,國小五年級,103-09～104-08,,17958,,,地區狀態不一致
114-06～115-06,114,新竹縣,國小六年級,102-09～103-08,,6630,,,基期不足
114-06～115-06,114,新竹市,國小六年級,102-09～103-08,,5541,,,基期不足
114-06～115-06,114,苗栗縣,國小六年級,102-09～103-08,4750,4713,-37,-0.78%,年中暫估
114-06～115-06,114,三區合計,國小六年級,102-09～103-08,,16884,,,地區狀態不一致
114-06～115-06,114,新竹縣,國小四年級,104-09～105-08,,6903,,,基期不足
114-06～115-06,114,新竹市,國小四年級,104-09～105-08,,5534,,,基期不足
114-06～115-06,114,苗栗縣,國小四年級,104-09～105-08,4912,4911,-1,-0.02%,年中暫估
114-06～115-06,114,三區合計,國小四年級,104-09～105-08,,17348,,,地區狀態不一致
114-06～115-06,114,新竹縣,幼兒園中班,109-09～110-08,,5670,,,基期不足
114-06～115-06,114,新竹市,幼兒園中班,109-09～110-08,,3993,,,基期不足
114-06～115-06,114,苗栗縣,幼兒園中班,109-09～110-08,3323,3459,136,4.09%,年中暫估
114-06～115-06,114,三區合計,幼兒園中班,109-09～110-08,,13122,,,地區狀態不一致
114-06～115-06,114,新竹縣,幼兒園大班,108-09～109-08,,5730,,,基期不足
114-06～115-06,114,新竹市,幼兒園大班,108-09～109-08,,4352,,,基期不足
114-06～115-06,114,苗栗縣,幼兒園大班,108-09～109-08,3654,3835,181,4.95%,年中暫估
