會考年度,西元年度,出生區間,新竹縣預估人數,新竹縣資料年月,新竹市預估人數,新竹市資料年月,苗栗縣預估人數,苗栗縣資料年月,三區合計,資料完整性,估算方法
116,2027,100-09～101-08,7024,115-06,5681,115-06,5052,115-06,17757,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
117,2028,101-09～102-08,7064,115-06,5949,115-06,5085,115-06,18098,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
118,2029,102-09～103-08,6630,115-06,5541,115-06,4713,115-06,16884,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
119,2030,103-09～104-08,6997,115-06,5859,115-06,5102,115-06,17958,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
120,2031,104-09～105-08,6903,115-06,5534,115-06,4911,115-06,17348,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
121,2032,105-09～106-08,6692,115-06,5127,115-06,4648,115-06,16467,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
122,2033,106-09～107-08,6260,115-06,4852,115-06,4469,115-06,15581,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
123,2034,107-09～108-08,5966,115-06,4545,115-06,4118,115-06,14629,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
124,2035,108-09～109-08,5730,115-06,4352,115-06,3835,115-06,13917,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
125,2036,109-09～110-08,5670,115-06,3993,115-06,3459,115-06,13122,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
126,2037,110-09～111-08,5265,115-06,3703,115-06,3045,115-06,12013,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
127,2038,111-09～112-08,4952,115-06,3440,115-06,2781,115-06,11173,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
128,2039,112-09～113-08,4523,115-06,3405,115-06,2702,115-06,10630,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
129,2040,113-09～114-08,3914,115-06,3073,115-06,2532,115-06,9519,完整 cohort,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
130,2041,114-09～115-08,2802,115-06,2345,115-06,2051,115-06,7198,暫估：新竹縣補2月、新竹市補2月、苗栗縣補2月,單歲戶籍人口按出生月份重疊比例加權；非實際報考人數
