公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10122-00-02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之3,新竹市各區　現住人口數按性別及年齡分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國114年10月底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03360,單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,性別,總計,0～4歲_合計,0～4歲_0歲,0～4歲_1歲,0～4歲_2歲,0～4歲_3歲,0～4歲_4歲,5～9歲_合計,5～9歲_5歲,5～9歲_6歲,5～9歲_7歲,5～9歲_8歲,5～9歲_9歲,10～14歲_合計,10～14歲_10歲,10～14歲_11歲,10～14歲_12歲,10～14歲_13歲,10～14歲_14歲,15～19歲_合計,15～19歲_15歲,15～19歲_16歲,15～19歲_17歲,15～19歲_18歲,15～19歲_19歲,20～24歲_合計,20～24歲_20歲,20～24歲_21歲,20～24歲_22歲,20～24歲_23歲,20～24歲_24歲,25～29歲_合計,25～29歲_25歲,25～29歲_26歲,25～29歲_27歲,25～29歲_28歲,25～29歲_29歲,30～34歲_合計,30～34歲_30歲,30～34歲_31歲,30～34歲_32歲,30～34歲_33歲,30～34歲_34歲,35～39歲_合計,35～39歲_35歲,35～39歲_36歲,35～39歲_37歲,35～39歲_38歲,35～39歲_39歲,40～44歲_合計,40～44歲_40歲,40～44歲_41歲,40～44歲_42歲,40～44歲_43歲,40～44歲_44歲,45～49歲_合計,45～49歲_45歲,45～49歲_46歲,45～49歲_47歲,45～49歲_48歲,45～49歲_49歲,50～54歲_合計,50～54歲_50歲,50～54歲_51歲,50～54歲_52歲,50～54歲_53歲,50～54歲_54歲,55～59歲_合計,55～59歲_55歲,55～59歲_56歲,55～59歲_57歲,55～59歲_58歲,55～59歲_59歲,60～64歲_合計,60～64歲_60歲,60～64歲_61歲,60～64歲_62歲,60～64歲_63歲,60～64歲_64歲,65～69歲_合計,65～69歲_65歲,65～69歲_66歲,65～69歲_67歲,65～69歲_68歲,65～69歲_69歲,70～74歲_合計,70～74歲_70歲,70～74歲_71歲,70～74歲_72歲,70～74歲_73歲,70～74歲_74歲,75～79歲_合計,75～79歲_75歲,75～79歲_76歲,75～79歲_77歲,75～79歲_78歲,75～79歲_79歲,80～84歲_合計,80～84歲_80歲,80～84歲_81歲,80～84歲_82歲,80～84歲_83歲,80～84歲_84歲,85～89歲_合計,85～89歲_85歲,85～89歲_86歲,85～89歲_87歲,85～89歲_88歲,85～89歲_89歲,90～94歲_合計,90～94歲_90歲,90～94歲_91歲,90～94歲_92歲,90～94歲_93歲,90～94歲_94歲,95～99歲_合計,95～99歲_95歲,95～99歲_96歲,95～99歲_97歲,95～99歲_98歲,95～99歲_99歲,100歲以上
10018000,總計,計,455240,16949,2634,3363,3345,3605,4002,24079,4155,4578,4763,5093,5490,28222,5859,5727,5594,6030,5012,23360,4348,4841,4910,4659,4602,23666,4389,4477,4688,4926,5186,27559,5524,5080,4990,5986,5979,30027,5889,5826,6086,6058,6168,31571,6426,6171,6511,6218,6245,40435,6980,7677,8098,8715,8965,42551,8860,8843,8434,8086,8328,33975,7139,6785,6668,6683,6700,31223,6603,6627,6248,5830,5915,28630,6013,5731,5823,5807,5256,24708,5334,5239,4921,4630,4584,20933,4680,4370,4113,3972,3798,12188,3015,2894,2393,2193,1693,7596,1497,1663,1607,1493,1336,4791,1291,1081,954,813,652,1993,582,446,384,334,247,652,193,167,127,95,70,132
10018000,總計,男,224645,8848,1408,1770,1744,1880,2046,12460,2177,2408,2486,2590,2799,14665,3045,2961,2930,3120,2609,12274,2268,2518,2670,2422,2396,12394,2273,2308,2456,2617,2740,14252,2848,2633,2572,3124,3075,15526,3060,3015,3099,3132,3220,16055,3328,3149,3320,3149,3109,19518,3378,3672,3876,4267,4325,20685,4296,4213,4125,3946,4105,16711,3527,3417,3235,3296,3236,15251,3245,3162,3083,2894,2867,13934,2955,2776,2820,2840,2543,11438,2504,2462,2321,2081,2070,9527,2137,2060,1881,1767,1682,5319,1313,1283,1042,974,707,3001,604,668,651,571,507,1712,465,387,334,280,246,735,203,165,142,131,94,280,72,62,56,51,39,60
10018000,總計,女,230595,8101,1226,1593,1601,1725,1956,11619,1978,2170,2277,2503,2691,13557,2814,2766,2664,2910,2403,11086,2080,2323,2240,2237,2206,11272,2116,2169,2232,2309,2446,13307,2676,2447,2418,2862,2904,14501,2829,2811,2987,2926,2948,15516,3098,3022,3191,3069,3136,20917,3602,4005,4222,4448,4640,21866,4564,4630,4309,4140,4223,17264,3612,3368,3433,3387,3464,15972,3358,3465,3165,2936,3048,14696,3058,2955,3003,2967,2713,13270,2830,2777,2600,2549,2514,11406,2543,2310,2232,2205,2116,6869,1702,1611,1351,1219,986,4595,893,995,956,922,829,3079,826,694,620,533,406,1258,379,281,242,203,153,372,121,105,71,44,31,72
10018010,東區,計,221890,9168,1340,1751,1855,1997,2225,14436,2325,2710,2856,3085,3460,17374,3747,3733,3413,3566,2915,12016,2395,2534,2492,2360,2235,11041,2063,2139,2153,2315,2371,12345,2518,2311,2191,2669,2656,13757,2665,2588,2869,2765,2870,15184,2944,2988,3143,3055,3054,19944,3452,3729,4006,4318,4439,20925,4391,4351,4173,3904,4106,16025,3426,3201,3154,3112,3132,14170,3031,3064,2856,2568,2651,12701,2727,2618,2531,2522,2303,10923,2309,2311,2175,2087,2041,9208,2087,1849,1816,1776,1680,5494,1339,1309,1075,1003,768,3496,685,736,773,682,620,2291,610,502,461,409,309,967,279,210,179,170,129,336,92,89,67,49,39,89
10018010,東區,男,109526,4814,715,928,963,1051,1157,7546,1245,1426,1512,1560,1803,9073,1958,1944,1772,1882,1517,6353,1233,1335,1365,1237,1183,5739,1065,1116,1098,1212,1248,6436,1315,1207,1143,1393,1378,7069,1388,1348,1461,1420,1452,7579,1512,1523,1559,1519,1466,9406,1595,1737,1893,2103,2078,9982,2070,2008,1991,1886,2027,7931,1692,1616,1558,1535,1530,6962,1486,1482,1451,1276,1267,6218,1320,1262,1249,1231,1156,5127,1121,1104,1027,940,935,4234,970,871,856,808,729,2330,558,549,456,447,320,1361,275,300,300,249,237,817,236,176,165,130,110,358,98,76,66,69,49,148,35,34,28,30,21,43
10018010,東區,女,112364,4354,625,823,892,946,1068,6890,1080,1284,1344,1525,1657,8301,1789,1789,1641,1684,1398,5663,1162,1199,1127,1123,1052,5302,998,1023,1055,1103,1123,5909,1203,1104,1048,1276,1278,6688,1277,1240,1408,1345,1418,7605,1432,1465,1584,1536,1588,10538,1857,1992,2113,2215,2361,10943,2321,2343,2182,2018,2079,8094,1734,1585,1596,1577,1602,7208,1545,1582,1405,1292,1384,6483,1407,1356,1282,1291,1147,5796,1188,1207,1148,1147,1106,4974,1117,978,960,968,951,3164,781,760,619,556,448,2135,410,436,473,433,383,1474,374,326,296,279,199,609,181,134,113,101,80,188,57,55,39,19,18,46
10018020,北區,計,153849,5194,844,1067,1000,1079,1204,6888,1292,1317,1373,1463,1443,7617,1521,1464,1520,1690,1422,7399,1317,1458,1583,1510,1531,7993,1460,1445,1609,1677,1802,9742,1910,1779,1816,2128,2109,10525,2103,2113,2042,2123,2144,10775,2283,2110,2177,2088,2117,13314,2292,2573,2671,2869,2909,14087,2919,2944,2747,2746,2731,11522,2365,2279,2268,2335,2275,11235,2335,2338,2254,2147,2161,10398,2148,2003,2155,2171,1921,9048,1920,1922,1843,1690,1673,7878,1743,1663,1502,1537,1433,4633,1158,1097,906,834,638,2828,526,644,582,566,510,1786,498,396,361,280,251,719,222,152,145,116,84,234,72,61,45,35,21,34
10018020,北區,男,74952,2660,450,551,521,549,589,3549,663,710,703,761,712,3891,765,749,786,858,733,3861,706,757,850,758,790,4192,766,722,849,903,952,4940,967,906,916,1085,1066,5479,1092,1079,1059,1096,1153,5469,1192,1065,1134,1016,1062,6405,1147,1240,1240,1378,1400,6860,1439,1417,1350,1331,1323,5534,1149,1138,1052,1128,1067,5365,1122,1094,1064,1043,1042,4990,1073,961,1012,1056,888,4058,856,877,853,735,737,3528,784,769,666,670,639,2051,516,504,400,363,268,1095,204,256,246,204,185,641,167,142,127,97,108,269,80,51,59,43,36,101,26,25,19,17,14,14
10018020,北區,女,78897,2534,394,516,479,530,615,3339,629,607,670,702,731,3726,756,715,734,832,689,3538,611,701,733,752,741,3801,694,723,760,774,850,4802,943,873,900,1043,1043,5046,1011,1034,983,1027,991,5306,1091,1045,1043,1072,1055,6909,1145,1333,1431,1491,1509,7227,1480,1527,1397,1415,1408,5988,1216,1141,1216,1207,1208,5870,1213,1244,1190,1104,1119,5408,1075,1042,1143,1115,1033,4990,1064,1045,990,955,936,4350,959,894,836,867,794,2582,642,593,506,471,370,1733,322,388,336,362,325,1145,331,254,234,183,143,450,142,101,86,73,48,133,46,36,26,18,7,20
10018030,香山區,計,79501,2587,450,545,490,529,573,2755,538,551,534,545,587,3231,591,530,661,774,675,3945,636,849,835,789,836,4632,866,893,926,934,1013,5472,1096,990,983,1189,1214,5745,1121,1125,1175,1170,1154,5612,1199,1073,1191,1075,1074,7177,1236,1375,1421,1528,1617,7539,1550,1548,1514,1436,1491,6428,1348,1305,1246,1236,1293,5818,1237,1225,1138,1115,1103,5531,1138,1110,1137,1114,1032,4737,1105,1006,903,853,870,3847,850,858,795,659,685,2061,518,488,412,356,287,1272,286,283,252,245,206,714,183,183,132,124,92,307,81,84,60,48,34,82,29,17,15,11,10,9
