公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10122-00-02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之3,新竹市各區　現住人口數按性別及年齡分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國114年11月底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03360,單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,性別,總計,0～4歲_合計,0～4歲_0歲,0～4歲_1歲,0～4歲_2歲,0～4歲_3歲,0～4歲_4歲,5～9歲_合計,5～9歲_5歲,5～9歲_6歲,5～9歲_7歲,5～9歲_8歲,5～9歲_9歲,10～14歲_合計,10～14歲_10歲,10～14歲_11歲,10～14歲_12歲,10～14歲_13歲,10～14歲_14歲,15～19歲_合計,15～19歲_15歲,15～19歲_16歲,15～19歲_17歲,15～19歲_18歲,15～19歲_19歲,20～24歲_合計,20～24歲_20歲,20～24歲_21歲,20～24歲_22歲,20～24歲_23歲,20～24歲_24歲,25～29歲_合計,25～29歲_25歲,25～29歲_26歲,25～29歲_27歲,25～29歲_28歲,25～29歲_29歲,30～34歲_合計,30～34歲_30歲,30～34歲_31歲,30～34歲_32歲,30～34歲_33歲,30～34歲_34歲,35～39歲_合計,35～39歲_35歲,35～39歲_36歲,35～39歲_37歲,35～39歲_38歲,35～39歲_39歲,40～44歲_合計,40～44歲_40歲,40～44歲_41歲,40～44歲_42歲,40～44歲_43歲,40～44歲_44歲,45～49歲_合計,45～49歲_45歲,45～49歲_46歲,45～49歲_47歲,45～49歲_48歲,45～49歲_49歲,50～54歲_合計,50～54歲_50歲,50～54歲_51歲,50～54歲_52歲,50～54歲_53歲,50～54歲_54歲,55～59歲_合計,55～59歲_55歲,55～59歲_56歲,55～59歲_57歲,55～59歲_58歲,55～59歲_59歲,60～64歲_合計,60～64歲_60歲,60～64歲_61歲,60～64歲_62歲,60～64歲_63歲,60～64歲_64歲,65～69歲_合計,65～69歲_65歲,65～69歲_66歲,65～69歲_67歲,65～69歲_68歲,65～69歲_69歲,70～74歲_合計,70～74歲_70歲,70～74歲_71歲,70～74歲_72歲,70～74歲_73歲,70～74歲_74歲,75～79歲_合計,75～79歲_75歲,75～79歲_76歲,75～79歲_77歲,75～79歲_78歲,75～79歲_79歲,80～84歲_合計,80～84歲_80歲,80～84歲_81歲,80～84歲_82歲,80～84歲_83歲,80～84歲_84歲,85～89歲_合計,85～89歲_85歲,85～89歲_86歲,85～89歲_87歲,85～89歲_88歲,85～89歲_89歲,90～94歲_合計,90～94歲_90歲,90～94歲_91歲,90～94歲_92歲,90～94歲_93歲,90～94歲_94歲,95～99歲_合計,95～99歲_95歲,95～99歲_96歲,95～99歲_97歲,95～99歲_98歲,95～99歲_99歲,100歲以上
10018000,總計,計,455449,16845,2535,3398,3324,3552,4036,23889,4107,4566,4721,5036,5459,28383,5858,5803,5467,6155,5100,23369,4296,4870,4838,4715,4650,23525,4353,4506,4635,4894,5137,27511,5583,5124,4907,5962,5935,30130,5923,5856,6113,6073,6165,31554,6391,6148,6611,6212,6192,40219,6916,7609,8062,8596,9036,42671,8853,8888,8436,8072,8422,34023,7204,6807,6587,6722,6703,31377,6659,6624,6288,5809,5997,28611,5943,5758,5799,5842,5269,24786,5328,5248,4936,4657,4617,21043,4628,4441,4115,3962,3897,12312,3037,2879,2454,2192,1750,7579,1479,1648,1604,1506,1342,4826,1298,1087,969,803,669,2005,582,458,380,336,249,654,193,171,125,93,72,137
10018000,總計,男,224714,8798,1353,1791,1745,1851,2058,12348,2154,2399,2444,2590,2761,14751,3057,2998,2866,3168,2662,12286,2247,2532,2627,2462,2418,12312,2263,2318,2414,2620,2697,14223,2885,2652,2556,3082,3048,15577,3087,3041,3096,3142,3211,16080,3331,3129,3366,3147,3107,19408,3338,3617,3881,4230,4342,20710,4277,4255,4118,3922,4138,16737,3569,3444,3190,3301,3233,15349,3292,3148,3098,2877,2934,13887,2903,2802,2788,2863,2531,11482,2529,2445,2341,2103,2064,9574,2117,2090,1879,1776,1712,5391,1345,1274,1065,960,747,2986,589,662,644,588,503,1732,473,400,329,282,248,740,202,179,136,127,96,279,77,61,52,51,38,64
10018000,總計,女,230735,8047,1182,1607,1579,1701,1978,11541,1953,2167,2277,2446,2698,13632,2801,2805,2601,2987,2438,11083,2049,2338,2211,2253,2232,11213,2090,2188,2221,2274,2440,13288,2698,2472,2351,2880,2887,14553,2836,2815,3017,2931,2954,15474,3060,3019,3245,3065,3085,20811,3578,3992,4181,4366,4694,21961,4576,4633,4318,4150,4284,17286,3635,3363,3397,3421,3470,16028,3367,3476,3190,2932,3063,14724,3040,2956,3011,2979,2738,13304,2799,2803,2595,2554,2553,11469,2511,2351,2236,2186,2185,6921,1692,1605,1389,1232,1003,4593,890,986,960,918,839,3094,825,687,640,521,421,1265,380,279,244,209,153,375,116,110,73,42,34,73
10018010,東區,計,221977,9116,1282,1777,1815,1982,2260,14316,2283,2700,2858,3034,3441,17441,3736,3763,3333,3662,2947,12028,2352,2557,2455,2386,2278,10991,2044,2154,2127,2300,2366,12315,2506,2375,2159,2649,2626,13819,2672,2616,2872,2783,2876,15154,2911,2983,3183,3046,3031,19817,3427,3694,3985,4255,4456,21005,4427,4330,4194,3902,4152,16055,3449,3222,3131,3119,3134,14235,3053,3043,2924,2551,2664,12729,2713,2643,2510,2550,2313,10939,2306,2297,2195,2073,2068,9278,2079,1889,1822,1751,1737,5543,1335,1298,1102,1013,795,3486,668,731,769,699,619,2302,605,514,461,400,322,976,282,221,174,171,128,339,95,88,69,48,39,93
10018010,東區,男,109559,4788,685,940,952,1035,1176,7479,1222,1429,1500,1561,1767,9122,1964,1960,1738,1918,1542,6357,1205,1360,1333,1253,1206,5713,1050,1132,1082,1209,1240,6411,1309,1244,1128,1367,1363,7100,1385,1378,1474,1413,1450,7590,1510,1516,1591,1506,1467,9340,1574,1707,1899,2084,2076,9990,2085,1999,2004,1870,2032,7963,1736,1613,1556,1532,1526,7003,1501,1473,1480,1258,1291,6206,1302,1282,1230,1259,1133,5140,1137,1077,1051,937,938,4264,970,894,852,802,746,2363,572,540,466,447,338,1350,264,300,294,260,232,829,230,197,158,133,111,357,96,81,67,67,46,148,39,31,27,31,20,46
10018010,東區,女,112418,4328,597,837,863,947,1084,6837,1061,1271,1358,1473,1674,8319,1772,1803,1595,1744,1405,5671,1147,1197,1122,1133,1072,5278,994,1022,1045,1091,1126,5904,1197,1131,1031,1282,1263,6719,1287,1238,1398,1370,1426,7564,1401,1467,1592,1540,1564,10477,1853,1987,2086,2171,2380,11015,2342,2331,2190,2032,2120,8092,1713,1609,1575,1587,1608,7232,1552,1570,1444,1293,1373,6523,1411,1361,1280,1291,1180,5799,1169,1220,1144,1136,1130,5014,1109,995,970,949,991,3180,763,758,636,566,457,2136,404,431,475,439,387,1473,375,317,303,267,211,619,186,140,107,104,82,191,56,57,42,17,19,47
10018020,北區,計,153929,5162,815,1073,1007,1058,1209,6819,1274,1322,1343,1442,1438,7699,1535,1499,1488,1714,1463,7381,1301,1475,1554,1526,1525,7957,1460,1466,1591,1637,1803,9729,1937,1766,1794,2136,2096,10552,2097,2133,2071,2103,2148,10779,2265,2099,2223,2100,2092,13264,2263,2532,2697,2828,2944,14109,2897,2975,2733,2724,2780,11546,2381,2307,2227,2360,2271,11281,2340,2355,2221,2159,2206,10376,2121,2001,2145,2178,1931,9076,1920,1936,1839,1716,1665,7901,1726,1665,1516,1522,1472,4692,1184,1098,923,823,664,2813,523,633,585,560,512,1811,507,405,363,279,257,714,211,157,149,115,82,234,75,61,42,34,22,34
10018020,北區,男,74963,2637,433,556,526,536,586,3506,650,710,683,753,710,3920,773,766,763,870,748,3862,710,759,838,768,787,4171,775,726,836,894,940,4941,975,904,915,1087,1060,5482,1089,1083,1065,1089,1156,5478,1190,1055,1153,1029,1051,6384,1138,1211,1254,1375,1406,6872,1420,1457,1330,1310,1355,5530,1141,1157,1034,1135,1063,5400,1140,1095,1038,1055,1072,4970,1050,962,1004,1052,902,4072,860,895,837,754,726,3533,774,762,683,664,650,2084,535,506,407,353,283,1090,200,252,245,205,188,645,177,138,127,93,110,271,79,60,52,43,37,101,29,25,17,16,14,14
10018020,北區,女,78966,2525,382,517,481,522,623,3313,624,612,660,689,728,3779,762,733,725,844,715,3519,591,716,716,758,738,3786,685,740,755,743,863,4788,962,862,879,1049,1036,5070,1008,1050,1006,1014,992,5301,1075,1044,1070,1071,1041,6880,1125,1321,1443,1453,1538,7237,1477,1518,1403,1414,1425,6016,1240,1150,1193,1225,1208,5881,1200,1260,1183,1104,1134,5406,1071,1039,1141,1126,1029,5004,1060,1041,1002,962,939,4368,952,903,833,858,822,2608,649,592,516,470,381,1723,323,381,340,355,324,1166,330,267,236,186,147,443,132,97,97,72,45,133,46,36,25,18,8,20
10018030,香山區,計,79543,2567,438,548,502,512,567,2754,550,544,520,560,580,3243,587,541,646,779,690,3960,643,838,829,803,847,4577,849,886,917,957,968,5467,1140,983,954,1177,1213,5759,1154,1107,1170,1187,1141,5621,1215,1066,1205,1066,1069,7138,1226,1383,1380,1513,1636,7557,1529,1583,1509,1446,1490,6422,1374,1278,1229,1243,1298,5861,1266,1226,1143,1099,1127,5506,1109,1114,1144,1114,1025,4771,1102,1015,902,868,884,3864,823,887,777,689,688,2077,518,483,429,356,291,1280,288,284,250,247,211,713,186,168,145,124,90,315,89,80,57,50,39,81,23,22,14,11,11,10
