公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10122-00-02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之3,新竹市各區　現住人口數按性別及年齡分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國114年12月底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03360,單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,性別,總計,0～4歲_合計,0～4歲_0歲,0～4歲_1歲,0～4歲_2歲,0～4歲_3歲,0～4歲_4歲,5～9歲_合計,5～9歲_5歲,5～9歲_6歲,5～9歲_7歲,5～9歲_8歲,5～9歲_9歲,10～14歲_合計,10～14歲_10歲,10～14歲_11歲,10～14歲_12歲,10～14歲_13歲,10～14歲_14歲,15～19歲_合計,15～19歲_15歲,15～19歲_16歲,15～19歲_17歲,15～19歲_18歲,15～19歲_19歲,20～24歲_合計,20～24歲_20歲,20～24歲_21歲,20～24歲_22歲,20～24歲_23歲,20～24歲_24歲,25～29歲_合計,25～29歲_25歲,25～29歲_26歲,25～29歲_27歲,25～29歲_28歲,25～29歲_29歲,30～34歲_合計,30～34歲_30歲,30～34歲_31歲,30～34歲_32歲,30～34歲_33歲,30～34歲_34歲,35～39歲_合計,35～39歲_35歲,35～39歲_36歲,35～39歲_37歲,35～39歲_38歲,35～39歲_39歲,40～44歲_合計,40～44歲_40歲,40～44歲_41歲,40～44歲_42歲,40～44歲_43歲,40～44歲_44歲,45～49歲_合計,45～49歲_45歲,45～49歲_46歲,45～49歲_47歲,45～49歲_48歲,45～49歲_49歲,50～54歲_合計,50～54歲_50歲,50～54歲_51歲,50～54歲_52歲,50～54歲_53歲,50～54歲_54歲,55～59歲_合計,55～59歲_55歲,55～59歲_56歲,55～59歲_57歲,55～59歲_58歲,55～59歲_59歲,60～64歲_合計,60～64歲_60歲,60～64歲_61歲,60～64歲_62歲,60～64歲_63歲,60～64歲_64歲,65～69歲_合計,65～69歲_65歲,65～69歲_66歲,65～69歲_67歲,65～69歲_68歲,65～69歲_69歲,70～74歲_合計,70～74歲_70歲,70～74歲_71歲,70～74歲_72歲,70～74歲_73歲,70～74歲_74歲,75～79歲_合計,75～79歲_75歲,75～79歲_76歲,75～79歲_77歲,75～79歲_78歲,75～79歲_79歲,80～84歲_合計,80～84歲_80歲,80～84歲_81歲,80～84歲_82歲,80～84歲_83歲,80～84歲_84歲,85～89歲_合計,85～89歲_85歲,85～89歲_86歲,85～89歲_87歲,85～89歲_88歲,85～89歲_89歲,90～94歲_合計,90～94歲_90歲,90～94歲_91歲,90～94歲_92歲,90～94歲_93歲,90～94歲_94歲,95～99歲_合計,95～99歲_95歲,95～99歲_96歲,95～99歲_97歲,95～99歲_98歲,95～99歲_99歲,100歲以上
10018000,總計,計,455740,16767,2492,3407,3353,3507,4008,23796,4100,4563,4669,5036,5428,28512,5793,5884,5363,6259,5213,23342,4235,4870,4836,4759,4642,23460,4350,4565,4526,4929,5090,27491,5629,5153,4810,5968,5931,30149,5954,5843,6138,6036,6178,31561,6420,6096,6731,6225,6089,40047,6846,7607,7975,8608,9011,42798,8926,8849,8494,7977,8552,34108,7245,6871,6571,6702,6719,31414,6672,6615,6343,5783,6001,28665,5950,5752,5812,5798,5353,24830,5360,5155,5027,4678,4610,21108,4617,4413,4172,3958,3948,12444,3057,2913,2476,2221,1777,7587,1436,1653,1610,1532,1356,4835,1295,1103,948,824,665,2032,589,474,374,336,259,655,195,167,130,97,66,139
10018000,總計,男,224870,8754,1330,1802,1752,1820,2050,12336,2158,2395,2427,2592,2764,14807,3006,3040,2805,3218,2738,12257,2208,2513,2626,2499,2411,12296,2252,2367,2368,2623,2686,14210,2910,2673,2484,3106,3037,15575,3075,3049,3091,3160,3200,16070,3363,3080,3423,3163,3041,19343,3356,3583,3833,4240,4331,20800,4306,4228,4193,3859,4214,16775,3548,3461,3220,3283,3263,15367,3289,3150,3114,2878,2936,13888,2890,2805,2811,2819,2563,11528,2558,2412,2381,2121,2056,9595,2110,2059,1920,1775,1731,5454,1367,1273,1076,964,774,2980,569,673,642,588,508,1741,488,395,319,292,247,749,206,179,143,125,96,279,77,58,54,57,33,66
10018000,總計,女,230870,8013,1162,1605,1601,1687,1958,11460,1942,2168,2242,2444,2664,13705,2787,2844,2558,3041,2475,11085,2027,2357,2210,2260,2231,11164,2098,2198,2158,2306,2404,13281,2719,2480,2326,2862,2894,14574,2879,2794,3047,2876,2978,15491,3057,3016,3308,3062,3048,20704,3490,4024,4142,4368,4680,21998,4620,4621,4301,4118,4338,17333,3697,3410,3351,3419,3456,16047,3383,3465,3229,2905,3065,14777,3060,2947,3001,2979,2790,13302,2802,2743,2646,2557,2554,11513,2507,2354,2252,2183,2217,6990,1690,1640,1400,1257,1003,4607,867,980,968,944,848,3094,807,708,629,532,418,1283,383,295,231,211,163,376,118,109,76,40,33,73
10018010,東區,計,222219,9101,1279,1798,1812,1945,2267,14246,2275,2687,2829,3046,3409,17546,3708,3796,3307,3741,2994,12008,2313,2567,2456,2402,2270,10977,2070,2159,2114,2302,2332,12326,2563,2353,2106,2684,2620,13809,2655,2620,2891,2771,2872,15166,2953,2936,3252,3036,2989,19758,3402,3703,3935,4273,4445,21062,4440,4317,4227,3862,4216,16099,3483,3249,3132,3086,3149,14272,3094,3032,2949,2533,2664,12753,2725,2631,2538,2508,2351,10970,2325,2272,2214,2078,2081,9301,2087,1893,1825,1741,1755,5614,1339,1319,1109,1026,821,3482,645,736,769,707,625,2307,601,522,456,406,322,989,285,229,169,175,131,337,96,83,71,52,35,96
10018010,東區,男,109689,4788,688,954,936,1019,1191,7456,1218,1418,1488,1571,1761,9159,1923,1989,1720,1949,1578,6340,1190,1345,1329,1280,1196,5729,1073,1132,1076,1217,1231,6401,1322,1241,1091,1387,1360,7096,1374,1386,1463,1439,1434,7581,1546,1465,1636,1496,1438,9321,1588,1701,1854,2096,2082,10019,2071,1997,2043,1837,2071,7983,1728,1630,1567,1524,1534,7042,1520,1467,1490,1261,1304,6198,1290,1279,1242,1236,1151,5162,1141,1077,1054,954,936,4275,967,897,852,807,752,2402,581,543,474,448,356,1346,254,301,295,259,237,828,235,196,150,141,106,370,103,83,67,68,49,146,37,30,26,36,17,47
10018010,東區,女,112530,4313,591,844,876,926,1076,6790,1057,1269,1341,1475,1648,8387,1785,1807,1587,1792,1416,5668,1123,1222,1127,1122,1074,5248,997,1027,1038,1085,1101,5925,1241,1112,1015,1297,1260,6713,1281,1234,1428,1332,1438,7585,1407,1471,1616,1540,1551,10437,1814,2002,2081,2177,2363,11043,2369,2320,2184,2025,2145,8116,1755,1619,1565,1562,1615,7230,1574,1565,1459,1272,1360,6555,1435,1352,1296,1272,1200,5808,1184,1195,1160,1124,1145,5026,1120,996,973,934,1003,3212,758,776,635,578,465,2136,391,435,474,448,388,1479,366,326,306,265,216,619,182,146,102,107,82,191,59,53,45,16,18,49
10018020,北區,計,153915,5121,790,1064,1022,1054,1191,6787,1272,1327,1306,1443,1439,7701,1514,1531,1429,1736,1491,7384,1291,1473,1551,1540,1529,7925,1451,1488,1528,1671,1787,9711,1923,1827,1747,2106,2108,10556,2133,2097,2087,2090,2149,10796,2255,2111,2254,2116,2060,13184,2233,2522,2692,2781,2956,14155,2946,2946,2746,2682,2835,11557,2370,2332,2214,2357,2284,11286,2313,2362,2234,2156,2221,10394,2135,1973,2155,2171,1960,9069,1925,1886,1885,1711,1662,7923,1709,1649,1566,1516,1483,4744,1201,1100,945,826,672,2817,502,631,586,576,522,1809,506,410,350,294,249,728,221,157,150,115,85,236,75,60,46,34,21,32
10018020,北區,男,74960,2613,419,557,540,522,575,3503,646,717,667,752,721,3921,767,768,739,886,761,3859,696,760,841,776,786,4156,756,751,816,894,939,4940,980,930,891,1078,1061,5474,1104,1054,1078,1088,1150,5484,1194,1058,1159,1053,1020,6364,1143,1200,1259,1350,1412,6897,1442,1433,1361,1282,1379,5545,1135,1156,1050,1107,1097,5381,1120,1101,1035,1061,1064,4973,1060,956,1017,1033,907,4082,880,881,851,749,721,3539,771,742,715,658,653,2104,549,497,420,349,289,1087,191,258,244,207,187,652,185,136,122,99,110,269,78,58,57,41,35,103,30,23,20,17,13,14
10018020,北區,女,78955,2508,371,507,482,532,616,3284,626,610,639,691,718,3780,747,763,690,850,730,3525,595,713,710,764,743,3769,695,737,712,777,848,4771,943,897,856,1028,1047,5082,1029,1043,1009,1002,999,5312,1061,1053,1095,1063,1040,6820,1090,1322,1433,1431,1544,7258,1504,1513,1385,1400,1456,6012,1235,1176,1164,1250,1187,5905,1193,1261,1199,1095,1157,5421,1075,1017,1138,1138,1053,4987,1045,1005,1034,962,941,4384,938,907,851,858,830,2640,652,603,525,477,383,1730,311,373,342,369,335,1157,321,274,228,195,139,459,143,99,93,74,50,133,45,37,26,17,8,18
10018030,香山區,計,79606,2545,423,545,519,508,550,2763,553,549,534,547,580,3265,571,557,627,782,728,3950,631,830,829,817,843,4558,829,918,884,956,971,5454,1143,973,957,1178,1203,5784,1166,1126,1160,1175,1157,5599,1212,1049,1225,1073,1040,7105,1211,1382,1348,1554,1610,7581,1540,1586,1521,1433,1501,6452,1392,1290,1225,1259,1286,5856,1265,1221,1160,1094,1116,5518,1090,1148,1119,1119,1042,4791,1110,997,928,889,867,3884,821,871,781,701,710,2086,517,494,422,369,284,1288,289,286,255,249,209,719,188,171,142,124,94,315,83,88,55,46,43,82,24,24,13,11,10,11
