公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10122-00-02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之3,新竹市各區　現住人口數按性別及年齡分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年01月底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03360,單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,性別,總計,0～4歲_合計,0～4歲_0歲,0～4歲_1歲,0～4歲_2歲,0～4歲_3歲,0～4歲_4歲,5～9歲_合計,5～9歲_5歲,5～9歲_6歲,5～9歲_7歲,5～9歲_8歲,5～9歲_9歲,10～14歲_合計,10～14歲_10歲,10～14歲_11歲,10～14歲_12歲,10～14歲_13歲,10～14歲_14歲,15～19歲_合計,15～19歲_15歲,15～19歲_16歲,15～19歲_17歲,15～19歲_18歲,15～19歲_19歲,20～24歲_合計,20～24歲_20歲,20～24歲_21歲,20～24歲_22歲,20～24歲_23歲,20～24歲_24歲,25～29歲_合計,25～29歲_25歲,25～29歲_26歲,25～29歲_27歲,25～29歲_28歲,25～29歲_29歲,30～34歲_合計,30～34歲_30歲,30～34歲_31歲,30～34歲_32歲,30～34歲_33歲,30～34歲_34歲,35～39歲_合計,35～39歲_35歲,35～39歲_36歲,35～39歲_37歲,35～39歲_38歲,35～39歲_39歲,40～44歲_合計,40～44歲_40歲,40～44歲_41歲,40～44歲_42歲,40～44歲_43歲,40～44歲_44歲,45～49歲_合計,45～49歲_45歲,45～49歲_46歲,45～49歲_47歲,45～49歲_48歲,45～49歲_49歲,50～54歲_合計,50～54歲_50歲,50～54歲_51歲,50～54歲_52歲,50～54歲_53歲,50～54歲_54歲,55～59歲_合計,55～59歲_55歲,55～59歲_56歲,55～59歲_57歲,55～59歲_58歲,55～59歲_59歲,60～64歲_合計,60～64歲_60歲,60～64歲_61歲,60～64歲_62歲,60～64歲_63歲,60～64歲_64歲,65～69歲_合計,65～69歲_65歲,65～69歲_66歲,65～69歲_67歲,65～69歲_68歲,65～69歲_69歲,70～74歲_合計,70～74歲_70歲,70～74歲_71歲,70～74歲_72歲,70～74歲_73歲,70～74歲_74歲,75～79歲_合計,75～79歲_75歲,75～79歲_76歲,75～79歲_77歲,75～79歲_78歲,75～79歲_79歲,80～84歲_合計,80～84歲_80歲,80～84歲_81歲,80～84歲_82歲,80～84歲_83歲,80～84歲_84歲,85～89歲_合計,85～89歲_85歲,85～89歲_86歲,85～89歲_87歲,85～89歲_88歲,85～89歲_89歲,90～94歲_合計,90～94歲_90歲,90～94歲_91歲,90～94歲_92歲,90～94歲_93歲,90～94歲_94歲,95～99歲_合計,95～99歲_95歲,95～99歲_96歲,95～99歲_97歲,95～99歲_98歲,95～99歲_99歲,100歲以上
10018000,總計,計,456003,16660,2391,3437,3373,3470,3989,23676,4084,4537,4652,5011,5392,28625,5760,5894,5311,6349,5311,23325,4230,4851,4755,4843,4646,23393,4350,4584,4475,4921,5063,27491,5667,5212,4782,5849,5981,30146,6028,5840,6066,6079,6133,31573,6486,6069,6797,6232,5989,39865,6830,7568,7939,8530,8998,42921,8938,8847,8571,7871,8694,34178,7274,6905,6578,6697,6724,31471,6729,6564,6374,5858,5946,28662,5957,5785,5797,5811,5312,24959,5415,5127,5098,4696,4623,21156,4572,4441,4200,3976,3967,12623,3095,2959,2515,2203,1851,7555,1403,1639,1604,1540,1369,4895,1307,1112,948,847,681,2029,578,477,385,332,257,658,203,166,123,100,66,142
10018000,總計,男,224953,8686,1266,1818,1761,1802,2039,12279,2128,2413,2403,2590,2745,14849,2960,3072,2768,3258,2791,12271,2225,2484,2572,2568,2422,12244,2236,2380,2337,2613,2678,14212,2926,2698,2472,3044,3072,15588,3105,3061,3047,3189,3186,16065,3381,3086,3434,3179,2985,19268,3344,3590,3802,4193,4339,20871,4301,4230,4211,3830,4299,16779,3536,3440,3270,3259,3274,15385,3319,3111,3116,2922,2917,13881,2894,2825,2796,2804,2562,11618,2588,2403,2411,2147,2069,9605,2080,2053,1943,1785,1744,5526,1392,1282,1080,975,797,2980,564,665,640,595,516,1754,485,400,324,295,250,750,208,171,145,132,94,276,82,57,48,54,35,66
10018000,總計,女,231050,7974,1125,1619,1612,1668,1950,11397,1956,2124,2249,2421,2647,13776,2800,2822,2543,3091,2520,11054,2005,2367,2183,2275,2224,11149,2114,2204,2138,2308,2385,13279,2741,2514,2310,2805,2909,14558,2923,2779,3019,2890,2947,15508,3105,2983,3363,3053,3004,20597,3486,3978,4137,4337,4659,22050,4637,4617,4360,4041,4395,17399,3738,3465,3308,3438,3450,16086,3410,3453,3258,2936,3029,14781,3063,2960,3001,3007,2750,13341,2827,2724,2687,2549,2554,11551,2492,2388,2257,2191,2223,7097,1703,1677,1435,1228,1054,4575,839,974,964,945,853,3141,822,712,624,552,431,1279,370,306,240,200,163,382,121,109,75,46,31,76
10018010,東區,計,222301,9030,1226,1809,1814,1920,2261,14154,2252,2664,2813,3051,3374,17595,3682,3779,3310,3781,3043,12011,2317,2564,2403,2446,2281,10934,2056,2190,2083,2297,2308,12356,2623,2372,2096,2622,2643,13789,2701,2629,2837,2803,2819,15180,2992,2897,3315,3008,2968,19661,3368,3709,3925,4196,4463,21107,4428,4333,4256,3832,4258,16153,3525,3245,3143,3091,3149,14319,3132,2984,2958,2591,2654,12758,2703,2665,2535,2507,2348,10997,2341,2253,2241,2075,2087,9337,2075,1924,1819,1733,1786,5693,1362,1346,1119,1021,845,3462,634,725,766,708,629,2346,618,527,455,412,334,986,272,239,173,169,133,337,98,82,70,49,38,96
10018010,東區,男,109707,4742,651,956,945,1001,1189,7414,1197,1419,1475,1577,1746,9171,1896,2002,1693,1983,1597,6353,1204,1322,1298,1324,1205,5697,1055,1150,1063,1208,1221,6415,1342,1252,1095,1350,1376,7102,1394,1398,1446,1445,1419,7590,1561,1453,1658,1484,1434,9282,1575,1711,1832,2059,2105,10041,2041,2025,2030,1847,2098,7990,1730,1614,1588,1525,1533,7068,1545,1436,1497,1287,1303,6191,1268,1305,1249,1217,1152,5189,1145,1086,1060,960,938,4289,949,914,848,808,770,2429,599,548,468,454,360,1345,257,299,292,261,236,837,238,197,151,146,105,371,101,89,65,68,48,145,40,29,23,32,21,46
10018010,東區,女,112594,4288,575,853,869,919,1072,6740,1055,1245,1338,1474,1628,8424,1786,1777,1617,1798,1446,5658,1113,1242,1105,1122,1076,5237,1001,1040,1020,1089,1087,5941,1281,1120,1001,1272,1267,6687,1307,1231,1391,1358,1400,7590,1431,1444,1657,1524,1534,10379,1793,1998,2093,2137,2358,11066,2387,2308,2226,1985,2160,8163,1795,1631,1555,1566,1616,7251,1587,1548,1461,1304,1351,6567,1435,1360,1286,1290,1196,5808,1196,1167,1181,1115,1149,5048,1126,1010,971,925,1016,3264,763,798,651,567,485,2117,377,426,474,447,393,1509,380,330,304,266,229,615,171,150,108,101,85,192,58,53,47,17,17,50
10018020,北區,計,154041,5100,766,1074,1033,1053,1174,6764,1282,1327,1304,1403,1448,7746,1510,1528,1412,1772,1524,7377,1285,1455,1538,1560,1539,7901,1457,1475,1514,1656,1799,9689,1906,1848,1757,2044,2134,10568,2164,2096,2064,2108,2136,10802,2283,2105,2271,2132,2011,13133,2237,2501,2665,2811,2919,14202,2958,2946,2772,2623,2903,11569,2358,2369,2204,2351,2287,11284,2318,2360,2249,2168,2189,10397,2149,1993,2126,2185,1944,9129,1951,1868,1913,1732,1665,7923,1690,1641,1598,1514,1480,4820,1211,1117,973,813,706,2806,486,633,582,583,522,1830,506,412,353,309,250,730,224,157,147,120,82,237,80,59,41,38,19,34
10018020,北區,男,75001,2598,401,570,540,525,562,3488,649,724,666,725,724,3948,755,778,743,884,788,3863,699,749,842,789,784,4140,759,748,804,886,943,4931,984,930,900,1042,1075,5491,1116,1058,1052,1113,1152,5469,1190,1063,1158,1068,990,6343,1134,1205,1250,1361,1393,6922,1454,1430,1379,1242,1417,5546,1124,1159,1064,1100,1099,5359,1116,1092,1031,1068,1052,4976,1078,956,992,1049,901,4125,896,866,872,767,724,3534,762,728,741,652,651,2141,557,495,430,355,304,1086,184,255,245,211,191,654,180,142,123,101,108,270,82,52,56,47,33,102,33,22,19,16,12,15
10018020,北區,女,79040,2502,365,504,493,528,612,3276,633,603,638,678,724,3798,755,750,669,888,736,3514,586,706,696,771,755,3761,698,727,710,770,856,4758,922,918,857,1002,1059,5077,1048,1038,1012,995,984,5333,1093,1042,1113,1064,1021,6790,1103,1296,1415,1450,1526,7280,1504,1516,1393,1381,1486,6023,1234,1210,1140,1251,1188,5925,1202,1268,1218,1100,1137,5421,1071,1037,1134,1136,1043,5004,1055,1002,1041,965,941,4389,928,913,857,862,829,2679,654,622,543,458,402,1720,302,378,337,372,331,1176,326,270,230,208,142,460,142,105,91,73,49,135,47,37,22,22,7,19
10018030,香山區,計,79661,2530,399,554,526,497,554,2758,550,546,535,557,570,3284,568,587,589,796,744,3937,628,832,814,837,826,4558,837,919,878,968,956,5446,1138,992,929,1183,1204,5789,1163,1115,1165,1168,1178,5591,1211,1067,1211,1092,1010,7071,1225,1358,1349,1523,1616,7612,1552,1568,1543,1416,1533,6456,1391,1291,1231,1255,1288,5868,1279,1220,1167,1099,1103,5507,1105,1127,1136,1119,1020,4833,1123,1006,944,889,871,3896,807,876,783,729,701,2110,522,496,423,369,300,1287,283,281,256,249,218,719,183,173,140,126,97,313,82,81,65,43,42,84,25,25,12,13,9,12
