公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10122-00-02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之3,新竹市各區　現住人口數按性別及年齡分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年02月底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03360,單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,性別,總計,0～4歲_合計,0～4歲_0歲,0～4歲_1歲,0～4歲_2歲,0～4歲_3歲,0～4歲_4歲,5～9歲_合計,5～9歲_5歲,5～9歲_6歲,5～9歲_7歲,5～9歲_8歲,5～9歲_9歲,10～14歲_合計,10～14歲_10歲,10～14歲_11歲,10～14歲_12歲,10～14歲_13歲,10～14歲_14歲,15～19歲_合計,15～19歲_15歲,15～19歲_16歲,15～19歲_17歲,15～19歲_18歲,15～19歲_19歲,20～24歲_合計,20～24歲_20歲,20～24歲_21歲,20～24歲_22歲,20～24歲_23歲,20～24歲_24歲,25～29歲_合計,25～29歲_25歲,25～29歲_26歲,25～29歲_27歲,25～29歲_28歲,25～29歲_29歲,30～34歲_合計,30～34歲_30歲,30～34歲_31歲,30～34歲_32歲,30～34歲_33歲,30～34歲_34歲,35～39歲_合計,35～39歲_35歲,35～39歲_36歲,35～39歲_37歲,35～39歲_38歲,35～39歲_39歲,40～44歲_合計,40～44歲_40歲,40～44歲_41歲,40～44歲_42歲,40～44歲_43歲,40～44歲_44歲,45～49歲_合計,45～49歲_45歲,45～49歲_46歲,45～49歲_47歲,45～49歲_48歲,45～49歲_49歲,50～54歲_合計,50～54歲_50歲,50～54歲_51歲,50～54歲_52歲,50～54歲_53歲,50～54歲_54歲,55～59歲_合計,55～59歲_55歲,55～59歲_56歲,55～59歲_57歲,55～59歲_58歲,55～59歲_59歲,60～64歲_合計,60～64歲_60歲,60～64歲_61歲,60～64歲_62歲,60～64歲_63歲,60～64歲_64歲,65～69歲_合計,65～69歲_65歲,65～69歲_66歲,65～69歲_67歲,65～69歲_68歲,65～69歲_69歲,70～74歲_合計,70～74歲_70歲,70～74歲_71歲,70～74歲_72歲,70～74歲_73歲,70～74歲_74歲,75～79歲_合計,75～79歲_75歲,75～79歲_76歲,75～79歲_77歲,75～79歲_78歲,75～79歲_79歲,80～84歲_合計,80～84歲_80歲,80～84歲_81歲,80～84歲_82歲,80～84歲_83歲,80～84歲_84歲,85～89歲_合計,85～89歲_85歲,85～89歲_86歲,85～89歲_87歲,85～89歲_88歲,85～89歲_89歲,90～94歲_合計,90～94歲_90歲,90～94歲_91歲,90～94歲_92歲,90～94歲_93歲,90～94歲_94歲,95～99歲_合計,95～99歲_95歲,95～99歲_96歲,95～99歲_97歲,95～99歲_98歲,95～99歲_99歲,100歲以上
10018000,總計,計,455961,16590,2363,3427,3397,3462,3941,23577,4084,4520,4606,4985,5382,28629,5695,5916,5315,6306,5397,23338,4203,4857,4772,4864,4642,23337,4377,4553,4452,4949,5006,27418,5609,5208,4855,5788,5958,30154,6040,5902,5986,6142,6084,31578,6494,6102,6789,6209,5984,39659,6788,7507,7879,8493,8992,42966,8957,8867,8603,7841,8698,34218,7297,6917,6600,6689,6715,31488,6722,6611,6331,5946,5878,28745,5934,5787,5828,5754,5442,25008,5277,5244,5180,4592,4715,21181,4514,4414,4273,3919,4061,12769,3148,2894,2592,2195,1940,7539,1408,1629,1599,1540,1363,4937,1302,1126,976,833,700,2027,577,481,386,333,250,663,210,166,122,101,64,140
10018000,總計,男,224921,8646,1242,1824,1775,1795,2010,12219,2136,2402,2373,2582,2726,14872,2923,3099,2758,3259,2833,12236,2208,2472,2582,2581,2393,12219,2281,2360,2327,2642,2609,14190,2914,2687,2518,3008,3063,15595,3102,3087,3011,3214,3181,16062,3363,3108,3438,3166,2987,19171,3318,3568,3768,4175,4342,20919,4326,4236,4236,3814,4307,16774,3546,3419,3295,3243,3271,15385,3315,3174,3068,2937,2891,13921,2900,2821,2813,2790,2597,11666,2532,2466,2442,2103,2123,9598,2050,2024,1973,1764,1787,5613,1434,1242,1108,979,850,2978,570,648,632,615,513,1765,477,407,334,293,254,746,208,171,152,123,92,280,89,57,47,51,36,66
10018000,總計,女,231040,7944,1121,1603,1622,1667,1931,11358,1948,2118,2233,2403,2656,13757,2772,2817,2557,3047,2564,11102,1995,2385,2190,2283,2249,11118,2096,2193,2125,2307,2397,13228,2695,2521,2337,2780,2895,14559,2938,2815,2975,2928,2903,15516,3131,2994,3351,3043,2997,20488,3470,3939,4111,4318,4650,22047,4631,4631,4367,4027,4391,17444,3751,3498,3305,3446,3444,16103,3407,3437,3263,3009,2987,14824,3034,2966,3015,2964,2845,13342,2745,2778,2738,2489,2592,11583,2464,2390,2300,2155,2274,7156,1714,1652,1484,1216,1090,4561,838,981,967,925,850,3172,825,719,642,540,446,1281,369,310,234,210,158,383,121,109,75,50,28,74
10018010,東區,計,222153,8958,1220,1782,1823,1913,2220,14085,2256,2658,2766,3040,3365,17605,3642,3802,3308,3747,3106,12025,2283,2584,2419,2441,2298,10902,2066,2162,2088,2301,2285,12303,2582,2392,2101,2578,2650,13786,2709,2658,2781,2851,2787,15171,2994,2890,3329,2978,2980,19518,3356,3675,3893,4155,4439,21124,4457,4338,4271,3837,4221,16188,3560,3272,3119,3088,3149,14336,3110,3015,2957,2632,2622,12781,2698,2642,2566,2502,2373,11042,2328,2293,2251,2033,2137,9341,2027,1939,1840,1713,1822,5758,1397,1301,1163,1011,886,3455,632,719,766,717,621,2359,620,520,467,399,353,981,263,247,175,167,129,340,99,81,71,53,36,95
10018010,東區,男,109629,4696,640,944,947,999,1166,7369,1207,1409,1451,1574,1728,9188,1880,2014,1693,1971,1630,6340,1193,1327,1304,1312,1204,5687,1077,1127,1071,1226,1186,6404,1327,1265,1098,1324,1390,7096,1392,1406,1412,1477,1409,7590,1553,1455,1673,1458,1451,9214,1572,1685,1823,2024,2110,10056,2066,2025,2035,1846,2084,8003,1748,1627,1569,1521,1538,7071,1524,1469,1477,1305,1296,6195,1276,1284,1264,1223,1148,5224,1144,1111,1066,940,963,4281,926,904,859,808,784,2469,626,531,481,449,382,1345,262,293,289,271,230,841,235,200,153,141,112,368,96,94,66,65,47,147,43,28,23,31,22,45
10018010,東區,女,112524,4262,580,838,876,914,1054,6716,1049,1249,1315,1466,1637,8417,1762,1788,1615,1776,1476,5685,1090,1257,1115,1129,1094,5215,989,1035,1017,1075,1099,5899,1255,1127,1003,1254,1260,6690,1317,1252,1369,1374,1378,7581,1441,1435,1656,1520,1529,10304,1784,1990,2070,2131,2329,11068,2391,2313,2236,1991,2137,8185,1812,1645,1550,1567,1611,7265,1586,1546,1480,1327,1326,6586,1422,1358,1302,1279,1225,5818,1184,1182,1185,1093,1174,5060,1101,1035,981,905,1038,3289,771,770,682,562,504,2110,370,426,477,446,391,1518,385,320,314,258,241,613,167,153,109,102,82,193,56,53,48,22,14,50
10018020,北區,計,154124,5096,748,1089,1051,1030,1178,6736,1275,1331,1299,1394,1437,7752,1503,1517,1426,1769,1537,7361,1285,1443,1555,1551,1527,7905,1470,1488,1489,1674,1784,9677,1898,1806,1819,2023,2131,10571,2157,2119,2065,2101,2129,10810,2286,2130,2255,2138,2001,13116,2231,2511,2622,2811,2941,14224,2930,2978,2783,2584,2949,11575,2357,2350,2236,2338,2294,11273,2294,2392,2232,2199,2156,10435,2124,2034,2134,2146,1997,9131,1893,1901,1957,1698,1682,7933,1688,1613,1628,1489,1515,4879,1218,1107,996,815,743,2796,489,631,582,572,522,1848,495,430,366,311,246,735,229,158,146,120,82,238,84,62,38,35,19,33
10018020,北區,男,75045,2597,393,582,546,512,564,3476,653,721,662,722,718,3961,754,778,746,887,796,3841,689,744,854,795,759,4131,775,753,790,897,916,4932,996,896,938,1029,1073,5500,1107,1074,1057,1102,1160,5466,1179,1084,1136,1087,980,6334,1122,1226,1226,1354,1406,6934,1437,1449,1392,1219,1437,5539,1130,1125,1106,1080,1098,5361,1114,1126,1024,1057,1040,4998,1065,979,1000,1035,919,4136,883,861,901,753,738,3529,755,723,746,635,670,2175,571,482,436,358,328,1086,190,246,241,220,189,657,174,148,127,104,104,272,86,50,59,43,34,104,36,23,19,14,12,16
10018020,北區,女,79079,2499,355,507,505,518,614,3260,622,610,637,672,719,3791,749,739,680,882,741,3520,596,699,701,756,768,3774,695,735,699,777,868,4745,902,910,881,994,1058,5071,1050,1045,1008,999,969,5344,1107,1046,1119,1051,1021,6782,1109,1285,1396,1457,1535,7290,1493,1529,1391,1365,1512,6036,1227,1225,1130,1258,1196,5912,1180,1266,1208,1142,1116,5437,1059,1055,1134,1111,1078,4995,1010,1040,1056,945,944,4404,933,890,882,854,845,2704,647,625,560,457,415,1710,299,385,341,352,333,1191,321,282,239,207,142,463,143,108,87,77,48,134,48,39,19,21,7,17
10018030,香山區,計,79684,2536,395,556,523,519,543,2756,553,531,541,551,580,3272,550,597,581,790,754,3952,635,830,798,872,817,4530,841,903,875,974,937,5438,1129,1010,935,1187,1177,5797,1174,1125,1140,1190,1168,5597,1214,1082,1205,1093,1003,7025,1201,1321,1364,1527,1612,7618,1570,1551,1549,1420,1528,6455,1380,1295,1245,1263,1272,5879,1318,1204,1142,1115,1100,5529,1112,1111,1128,1106,1072,4835,1056,1050,972,861,896,3907,799,862,805,717,724,2132,533,486,433,369,311,1288,287,279,251,251,220,730,187,176,143,123,101,311,85,76,65,46,39,85,27,23,13,13,9,12
