公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10122-00-02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之3,新竹市各區　現住人口數按性別及年齡分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年03月底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03360,單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,性別,總計,0～4歲_合計,0～4歲_0歲,0～4歲_1歲,0～4歲_2歲,0～4歲_3歲,0～4歲_4歲,5～9歲_合計,5～9歲_5歲,5～9歲_6歲,5～9歲_7歲,5～9歲_8歲,5～9歲_9歲,10～14歲_合計,10～14歲_10歲,10～14歲_11歲,10～14歲_12歲,10～14歲_13歲,10～14歲_14歲,15～19歲_合計,15～19歲_15歲,15～19歲_16歲,15～19歲_17歲,15～19歲_18歲,15～19歲_19歲,20～24歲_合計,20～24歲_20歲,20～24歲_21歲,20～24歲_22歲,20～24歲_23歲,20～24歲_24歲,25～29歲_合計,25～29歲_25歲,25～29歲_26歲,25～29歲_27歲,25～29歲_28歲,25～29歲_29歲,30～34歲_合計,30～34歲_30歲,30～34歲_31歲,30～34歲_32歲,30～34歲_33歲,30～34歲_34歲,35～39歲_合計,35～39歲_35歲,35～39歲_36歲,35～39歲_37歲,35～39歲_38歲,35～39歲_39歲,40～44歲_合計,40～44歲_40歲,40～44歲_41歲,40～44歲_42歲,40～44歲_43歲,40～44歲_44歲,45～49歲_合計,45～49歲_45歲,45～49歲_46歲,45～49歲_47歲,45～49歲_48歲,45～49歲_49歲,50～54歲_合計,50～54歲_50歲,50～54歲_51歲,50～54歲_52歲,50～54歲_53歲,50～54歲_54歲,55～59歲_合計,55～59歲_55歲,55～59歲_56歲,55～59歲_57歲,55～59歲_58歲,55～59歲_59歲,60～64歲_合計,60～64歲_60歲,60～64歲_61歲,60～64歲_62歲,60～64歲_63歲,60～64歲_64歲,65～69歲_合計,65～69歲_65歲,65～69歲_66歲,65～69歲_67歲,65～69歲_68歲,65～69歲_69歲,70～74歲_合計,70～74歲_70歲,70～74歲_71歲,70～74歲_72歲,70～74歲_73歲,70～74歲_74歲,75～79歲_合計,75～79歲_75歲,75～79歲_76歲,75～79歲_77歲,75～79歲_78歲,75～79歲_79歲,80～84歲_合計,80～84歲_80歲,80～84歲_81歲,80～84歲_82歲,80～84歲_83歲,80～84歲_84歲,85～89歲_合計,85～89歲_85歲,85～89歲_86歲,85～89歲_87歲,85～89歲_88歲,85～89歲_89歲,90～94歲_合計,90～94歲_90歲,90～94歲_91歲,90～94歲_92歲,90～94歲_93歲,90～94歲_94歲,95～99歲_合計,95～99歲_95歲,95～99歲_96歲,95～99歲_97歲,95～99歲_98歲,95～99歲_99歲,100歲以上
10018000,總計,計,455843,16507,2367,3367,3407,3432,3934,23455,4081,4494,4587,4959,5334,28641,5685,5910,5337,6266,5443,23310,4273,4769,4795,4887,4586,23287,4404,4563,4445,4911,4964,27368,5582,5254,4859,5754,5919,30197,6048,5958,5954,6147,6090,31594,6422,6164,6756,6212,6040,39374,6727,7400,7908,8366,8973,42996,8966,8853,8624,7924,8629,34306,7370,6928,6648,6664,6696,31491,6683,6639,6327,5982,5860,28816,5925,5825,5799,5796,5471,25000,5252,5222,5289,4574,4663,21207,4505,4465,4235,3979,4023,13027,3220,2910,2663,2240,1994,7462,1362,1608,1605,1539,1348,4965,1312,1121,1000,837,695,2033,569,501,379,334,250,665,216,160,130,99,60,142
10018000,總計,男,224852,8599,1217,1811,1784,1774,2013,12142,2135,2380,2373,2563,2691,14878,2914,3096,2783,3221,2864,12216,2234,2443,2566,2628,2345,12211,2323,2341,2336,2626,2585,14175,2887,2728,2529,2991,3040,15647,3109,3129,2981,3234,3194,16067,3319,3118,3439,3169,3022,19034,3292,3518,3789,4104,4331,20918,4342,4213,4236,3857,4270,16822,3605,3399,3340,3233,3245,15406,3292,3206,3061,2942,2905,13933,2869,2820,2828,2793,2623,11649,2514,2472,2459,2119,2085,9633,2080,2033,1958,1784,1778,5694,1450,1251,1142,994,857,2958,561,647,623,622,505,1780,487,405,346,286,256,742,210,171,149,118,94,281,93,55,48,50,35,67
10018000,總計,女,230991,7908,1150,1556,1623,1658,1921,11313,1946,2114,2214,2396,2643,13763,2771,2814,2554,3045,2579,11094,2039,2326,2229,2259,2241,11076,2081,2222,2109,2285,2379,13193,2695,2526,2330,2763,2879,14550,2939,2829,2973,2913,2896,15527,3103,3046,3317,3043,3018,20340,3435,3882,4119,4262,4642,22078,4624,4640,4388,4067,4359,17484,3765,3529,3308,3431,3451,16085,3391,3433,3266,3040,2955,14883,3056,3005,2971,3003,2848,13351,2738,2750,2830,2455,2578,11574,2425,2432,2277,2195,2245,7333,1770,1659,1521,1246,1137,4504,801,961,982,917,843,3185,825,716,654,551,439,1291,359,330,230,216,156,384,123,105,82,49,25,75
10018010,東區,計,222060,8898,1200,1749,1834,1892,2223,14000,2256,2632,2758,3031,3323,17604,3642,3813,3346,3684,3119,12027,2347,2514,2457,2434,2275,10868,2078,2156,2108,2261,2265,12287,2575,2396,2128,2563,2625,13798,2728,2691,2717,2879,2783,15177,2951,2919,3295,3005,3007,19405,3325,3614,3901,4101,4464,21143,4439,4357,4276,3867,4204,16242,3589,3282,3140,3063,3168,14321,3088,3022,2940,2652,2619,12821,2693,2645,2566,2519,2398,11031,2311,2275,2294,2030,2121,9340,2029,1972,1800,1748,1791,5885,1447,1290,1205,1023,920,3422,602,729,753,724,614,2364,617,524,469,407,347,986,265,254,162,176,129,344,106,79,73,53,33,97
10018010,東區,男,109565,4663,612,947,953,982,1169,7315,1197,1406,1454,1567,1691,9179,1884,2020,1718,1912,1645,6340,1221,1303,1304,1330,1182,5665,1091,1118,1088,1205,1163,6431,1334,1272,1128,1317,1380,7118,1393,1435,1369,1506,1415,7580,1516,1459,1654,1473,1478,9150,1554,1658,1828,2004,2106,10080,2072,2025,2043,1854,2086,8013,1753,1617,1596,1498,1549,7072,1509,1477,1463,1320,1303,6193,1259,1278,1272,1224,1160,5222,1137,1104,1083,945,953,4299,945,909,848,820,777,2511,635,533,497,449,397,1333,248,305,275,278,227,847,239,199,151,145,113,361,95,92,60,63,51,147,45,28,22,31,21,46
10018010,東區,女,112495,4235,588,802,881,910,1054,6685,1059,1226,1304,1464,1632,8425,1758,1793,1628,1772,1474,5687,1126,1211,1153,1104,1093,5203,987,1038,1020,1056,1102,5856,1241,1124,1000,1246,1245,6680,1335,1256,1348,1373,1368,7597,1435,1460,1641,1532,1529,10255,1771,1956,2073,2097,2358,11063,2367,2332,2233,2013,2118,8229,1836,1665,1544,1565,1619,7249,1579,1545,1477,1332,1316,6628,1434,1367,1294,1295,1238,5809,1174,1171,1211,1085,1168,5041,1084,1063,952,928,1014,3374,812,757,708,574,523,2089,354,424,478,446,387,1517,378,325,318,262,234,625,170,162,102,113,78,197,61,51,51,22,12,51
10018020,北區,計,154154,5099,761,1079,1065,1021,1173,6716,1266,1337,1292,1380,1441,7752,1490,1503,1410,1774,1575,7337,1289,1447,1526,1583,1492,7898,1478,1512,1459,1689,1760,9669,1890,1830,1809,2010,2130,10598,2130,2163,2090,2078,2137,10828,2265,2156,2267,2100,2040,13022,2220,2467,2645,2770,2920,14226,2929,2965,2778,2634,2920,11576,2379,2331,2263,2326,2277,11290,2297,2395,2230,2234,2134,10449,2118,2069,2107,2151,2004,9143,1901,1887,1991,1716,1648,7960,1684,1619,1627,1486,1544,4952,1208,1134,1010,843,757,2760,476,603,597,573,511,1865,503,429,379,309,245,741,227,168,148,118,80,239,85,57,43,35,19,34
10018020,北區,男,75055,2598,392,574,558,510,564,3456,652,702,667,712,723,3965,748,764,745,893,815,3827,685,744,845,820,733,4148,794,753,777,909,915,4902,979,914,925,1022,1062,5514,1095,1104,1071,1088,1156,5494,1179,1094,1154,1073,994,6300,1118,1214,1242,1318,1408,6921,1433,1444,1379,1250,1415,5547,1151,1113,1125,1073,1085,5372,1122,1126,1026,1060,1038,5003,1054,986,1004,1021,938,4127,886,851,904,774,712,3553,767,721,740,639,686,2188,553,500,438,368,329,1078,190,233,245,229,181,665,178,151,135,99,102,276,88,52,61,44,31,105,37,21,21,14,12,16
10018020,北區,女,79099,2501,369,505,507,511,609,3260,614,635,625,668,718,3787,742,739,665,881,760,3510,604,703,681,763,759,3750,684,759,682,780,845,4767,911,916,884,988,1068,5084,1035,1059,1019,990,981,5334,1086,1062,1113,1027,1046,6722,1102,1253,1403,1452,1512,7305,1496,1521,1399,1384,1505,6029,1228,1218,1138,1253,1192,5918,1175,1269,1204,1174,1096,5446,1064,1083,1103,1130,1066,5016,1015,1036,1087,942,936,4407,917,898,887,847,858,2764,655,634,572,475,428,1682,286,370,352,344,330,1200,325,278,244,210,143,465,139,116,87,74,49,134,48,36,22,21,7,18
10018030,香山區,計,79629,2510,406,539,508,519,538,2739,559,525,537,548,570,3285,553,594,581,808,749,3946,637,808,812,870,819,4521,848,895,878,961,939,5412,1117,1028,922,1181,1164,5801,1190,1104,1147,1190,1170,5589,1206,1089,1194,1107,993,6947,1182,1319,1362,1495,1589,7627,1598,1531,1570,1423,1505,6488,1402,1315,1245,1275,1251,5880,1298,1222,1157,1096,1107,5546,1114,1111,1126,1126,1069,4826,1040,1060,1004,828,894,3907,792,874,808,745,688,2190,565,486,448,374,317,1280,284,276,255,242,223,736,192,168,152,121,103,306,77,79,69,40,41,82,25,24,14,11,8,11
