公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10122-00-02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之3,新竹市各區　現住人口數按性別及年齡分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年04月底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03360,單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,性別,總計,0～4歲_合計,0～4歲_0歲,0～4歲_1歲,0～4歲_2歲,0～4歲_3歲,0～4歲_4歲,5～9歲_合計,5～9歲_5歲,5～9歲_6歲,5～9歲_7歲,5～9歲_8歲,5～9歲_9歲,10～14歲_合計,10～14歲_10歲,10～14歲_11歲,10～14歲_12歲,10～14歲_13歲,10～14歲_14歲,15～19歲_合計,15～19歲_15歲,15～19歲_16歲,15～19歲_17歲,15～19歲_18歲,15～19歲_19歲,20～24歲_合計,20～24歲_20歲,20～24歲_21歲,20～24歲_22歲,20～24歲_23歲,20～24歲_24歲,25～29歲_合計,25～29歲_25歲,25～29歲_26歲,25～29歲_27歲,25～29歲_28歲,25～29歲_29歲,30～34歲_合計,30～34歲_30歲,30～34歲_31歲,30～34歲_32歲,30～34歲_33歲,30～34歲_34歲,35～39歲_合計,35～39歲_35歲,35～39歲_36歲,35～39歲_37歲,35～39歲_38歲,35～39歲_39歲,40～44歲_合計,40～44歲_40歲,40～44歲_41歲,40～44歲_42歲,40～44歲_43歲,40～44歲_44歲,45～49歲_合計,45～49歲_45歲,45～49歲_46歲,45～49歲_47歲,45～49歲_48歲,45～49歲_49歲,50～54歲_合計,50～54歲_50歲,50～54歲_51歲,50～54歲_52歲,50～54歲_53歲,50～54歲_54歲,55～59歲_合計,55～59歲_55歲,55～59歲_56歲,55～59歲_57歲,55～59歲_58歲,55～59歲_59歲,60～64歲_合計,60～64歲_60歲,60～64歲_61歲,60～64歲_62歲,60～64歲_63歲,60～64歲_64歲,65～69歲_合計,65～69歲_65歲,65～69歲_66歲,65～69歲_67歲,65～69歲_68歲,65～69歲_69歲,70～74歲_合計,70～74歲_70歲,70～74歲_71歲,70～74歲_72歲,70～74歲_73歲,70～74歲_74歲,75～79歲_合計,75～79歲_75歲,75～79歲_76歲,75～79歲_77歲,75～79歲_78歲,75～79歲_79歲,80～84歲_合計,80～84歲_80歲,80～84歲_81歲,80～84歲_82歲,80～84歲_83歲,80～84歲_84歲,85～89歲_合計,85～89歲_85歲,85～89歲_86歲,85～89歲_87歲,85～89歲_88歲,85～89歲_89歲,90～94歲_合計,90～94歲_90歲,90～94歲_91歲,90～94歲_92歲,90～94歲_93歲,90～94歲_94歲,95～99歲_合計,95～99歲_95歲,95～99歲_96歲,95～99歲_97歲,95～99歲_98歲,95～99歲_99歲,100歲以上
10018000,總計,計,455871,16426,2374,3316,3440,3420,3876,23363,4070,4458,4585,4959,5291,28655,5664,5874,5389,6201,5527,23318,4305,4711,4797,4961,4544,23209,4425,4547,4428,4882,4927,27379,5569,5249,4917,5676,5968,30189,6081,5915,5952,6109,6132,31611,6391,6209,6698,6225,6088,39170,6672,7360,7899,8353,8886,43028,8982,8867,8621,7929,8629,34448,7445,7000,6660,6640,6703,31477,6695,6594,6427,5946,5815,28859,5898,5884,5777,5810,5490,25002,5228,5243,5321,4638,4572,21251,4545,4499,4221,3980,4006,13211,3273,2843,2812,2195,2088,7446,1364,1601,1591,1550,1340,4982,1314,1118,1024,844,682,2041,565,516,379,331,250,670,223,157,127,104,59,136
10018000,總計,男,224836,8561,1215,1778,1805,1774,1989,12088,2109,2365,2378,2574,2662,14897,2898,3074,2811,3203,2911,12219,2233,2415,2560,2655,2356,12147,2336,2313,2339,2591,2568,14198,2892,2715,2569,2951,3071,15608,3121,3094,2994,3220,3179,16087,3313,3137,3424,3165,3048,18952,3289,3498,3789,4080,4296,20899,4319,4262,4199,3884,4235,16914,3675,3431,3355,3202,3251,15387,3304,3185,3102,2943,2853,13970,2872,2854,2807,2791,2646,11662,2505,2469,2479,2184,2025,9659,2079,2036,1972,1793,1779,5755,1465,1212,1218,966,894,2962,574,632,637,613,506,1787,487,409,344,294,253,744,205,177,147,115,100,275,90,55,45,50,35,65
10018000,總計,女,231035,7865,1159,1538,1635,1646,1887,11275,1961,2093,2207,2385,2629,13758,2766,2800,2578,2998,2616,11099,2072,2296,2237,2306,2188,11062,2089,2234,2089,2291,2359,13181,2677,2534,2348,2725,2897,14581,2960,2821,2958,2889,2953,15524,3078,3072,3274,3060,3040,20218,3383,3862,4110,4273,4590,22129,4663,4605,4422,4045,4394,17534,3770,3569,3305,3438,3452,16090,3391,3409,3325,3003,2962,14889,3026,3030,2970,3019,2844,13340,2723,2774,2842,2454,2547,11592,2466,2463,2249,2187,2227,7456,1808,1631,1594,1229,1194,4484,790,969,954,937,834,3195,827,709,680,550,429,1297,360,339,232,216,150,395,133,102,82,54,24,71
10018010,東區,計,222055,8840,1197,1732,1844,1889,2178,13944,2261,2613,2747,3029,3294,17592,3617,3807,3361,3659,3148,12065,2374,2498,2451,2483,2259,10809,2088,2145,2103,2236,2237,12328,2593,2380,2162,2533,2660,13790,2728,2667,2714,2871,2810,15178,2947,2920,3272,2991,3048,19311,3291,3590,3878,4114,4438,21136,4388,4389,4289,3837,4233,16321,3631,3311,3145,3075,3159,14296,3095,3002,2961,2643,2595,12852,2689,2657,2582,2508,2416,11050,2313,2277,2306,2084,2070,9350,2021,2004,1795,1749,1781,5965,1483,1273,1257,997,955,3422,619,712,754,728,609,2368,614,518,489,413,334,994,263,263,161,180,127,347,111,76,73,57,30,97
10018010,東區,男,109532,4645,610,933,974,969,1159,7265,1180,1403,1448,1570,1664,9187,1880,2009,1724,1908,1666,6356,1226,1292,1295,1346,1197,5630,1096,1104,1102,1178,1150,6450,1351,1248,1148,1308,1395,7103,1398,1406,1383,1502,1414,7584,1516,1449,1658,1464,1497,9123,1559,1637,1818,1991,2118,10041,2022,2064,2026,1859,2070,8064,1792,1620,1607,1510,1535,7049,1514,1465,1464,1334,1272,6211,1276,1282,1262,1217,1174,5235,1143,1098,1093,982,919,4310,930,926,846,819,789,2536,645,525,526,433,407,1341,262,294,291,272,222,851,235,202,154,150,110,364,90,97,57,64,56,140,40,27,23,31,19,47
10018010,東區,女,112523,4195,587,799,870,920,1019,6679,1081,1210,1299,1459,1630,8405,1737,1798,1637,1751,1482,5709,1148,1206,1156,1137,1062,5179,992,1041,1001,1058,1087,5878,1242,1132,1014,1225,1265,6687,1330,1261,1331,1369,1396,7594,1431,1471,1614,1527,1551,10188,1732,1953,2060,2123,2320,11095,2366,2325,2263,1978,2163,8257,1839,1691,1538,1565,1624,7247,1581,1537,1497,1309,1323,6641,1413,1375,1320,1291,1242,5815,1170,1179,1213,1102,1151,5040,1091,1078,949,930,992,3429,838,748,731,564,548,2081,357,418,463,456,387,1517,379,316,335,263,224,630,173,166,104,116,71,207,71,49,50,26,11,50
10018020,北區,計,154218,5076,761,1051,1087,1004,1173,6716,1260,1326,1302,1390,1438,7766,1480,1492,1448,1733,1613,7319,1297,1406,1543,1594,1479,7875,1488,1523,1437,1679,1748,9664,1881,1826,1823,1991,2143,10616,2150,2135,2114,2072,2145,10832,2253,2175,2253,2098,2053,12964,2224,2438,2662,2756,2884,14252,2984,2932,2769,2666,2901,11631,2414,2361,2257,2305,2294,11296,2295,2386,2265,2224,2126,10450,2089,2105,2068,2162,2026,9122,1889,1876,2006,1720,1631,7984,1707,1637,1622,1481,1537,5028,1225,1102,1078,831,792,2745,473,601,587,571,513,1877,507,432,381,306,251,736,223,175,148,110,80,240,86,56,40,38,20,29
10018020,北區,男,75089,2582,391,561,562,511,557,3466,650,695,672,720,729,3972,735,757,771,871,838,3817,672,726,859,823,737,4126,798,759,752,903,914,4905,973,922,931,1014,1065,5508,1102,1093,1079,1086,1148,5504,1186,1097,1147,1072,1002,6273,1119,1206,1257,1310,1381,6937,1455,1443,1363,1269,1407,5587,1176,1128,1121,1056,1106,5367,1111,1120,1049,1064,1023,5008,1037,1009,989,1016,957,4127,885,838,910,795,699,3563,771,711,751,650,680,2212,560,474,474,361,343,1074,198,224,241,227,184,666,183,151,132,100,100,275,87,58,60,40,30,106,39,21,17,16,13,14
10018020,北區,女,79129,2494,370,490,525,493,616,3250,610,631,630,670,709,3794,745,735,677,862,775,3502,625,680,684,771,742,3749,690,764,685,776,834,4759,908,904,892,977,1078,5108,1048,1042,1035,986,997,5328,1067,1078,1106,1026,1051,6691,1105,1232,1405,1446,1503,7315,1529,1489,1406,1397,1494,6044,1238,1233,1136,1249,1188,5929,1184,1266,1216,1160,1103,5442,1052,1096,1079,1146,1069,4995,1004,1038,1096,925,932,4421,936,926,871,831,857,2816,665,628,604,470,449,1671,275,377,346,344,329,1211,324,281,249,206,151,461,136,117,88,70,50,134,47,35,23,22,7,15
10018030,香山區,計,79598,2510,416,533,509,527,525,2703,549,519,536,540,559,3297,567,575,580,809,766,3934,634,807,803,884,806,4525,849,879,888,967,942,5387,1095,1043,932,1152,1165,5783,1203,1113,1124,1166,1177,5601,1191,1114,1173,1136,987,6895,1157,1332,1359,1483,1564,7640,1610,1546,1563,1426,1495,6496,1400,1328,1258,1260,1250,5885,1305,1206,1201,1079,1094,5557,1120,1122,1127,1140,1048,4830,1026,1090,1009,834,871,3917,817,858,804,750,688,2218,565,468,477,367,341,1279,272,288,250,251,218,737,193,168,154,125,97,311,79,78,70,41,43,83,26,25,14,9,9,10
