公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10122-00-02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之3,新竹市各區村里　現住人口數按性別及年齡分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年05月底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03360,單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,性別,總計,0～4歲_合計,0～4歲_0歲,0～4歲_1歲,0～4歲_2歲,0～4歲_3歲,0～4歲_4歲,5～9歲_合計,5～9歲_5歲,5～9歲_6歲,5～9歲_7歲,5～9歲_8歲,5～9歲_9歲,10～14歲_合計,10～14歲_10歲,10～14歲_11歲,10～14歲_12歲,10～14歲_13歲,10～14歲_14歲,15～19歲_合計,15～19歲_15歲,15～19歲_16歲,15～19歲_17歲,15～19歲_18歲,15～19歲_19歲,20～24歲_合計,20～24歲_20歲,20～24歲_21歲,20～24歲_22歲,20～24歲_23歲,20～24歲_24歲,25～29歲_合計,25～29歲_25歲,25～29歲_26歲,25～29歲_27歲,25～29歲_28歲,25～29歲_29歲,30～34歲_合計,30～34歲_30歲,30～34歲_31歲,30～34歲_32歲,30～34歲_33歲,30～34歲_34歲,35～39歲_合計,35～39歲_35歲,35～39歲_36歲,35～39歲_37歲,35～39歲_38歲,35～39歲_39歲,40～44歲_合計,40～44歲_40歲,40～44歲_41歲,40～44歲_42歲,40～44歲_43歲,40～44歲_44歲,45～49歲_合計,45～49歲_45歲,45～49歲_46歲,45～49歲_47歲,45～49歲_48歲,45～49歲_49歲,50～54歲_合計,50～54歲_50歲,50～54歲_51歲,50～54歲_52歲,50～54歲_53歲,50～54歲_54歲,55～59歲_合計,55～59歲_55歲,55～59歲_56歲,55～59歲_57歲,55～59歲_58歲,55～59歲_59歲,60～64歲_合計,60～64歲_60歲,60～64歲_61歲,60～64歲_62歲,60～64歲_63歲,60～64歲_64歲,65～69歲_合計,65～69歲_65歲,65～69歲_66歲,65～69歲_67歲,65～69歲_68歲,65～69歲_69歲,70～74歲_合計,70～74歲_70歲,70～74歲_71歲,70～74歲_72歲,70～74歲_73歲,70～74歲_74歲,75～79歲_合計,75～79歲_75歲,75～79歲_76歲,75～79歲_77歲,75～79歲_78歲,75～79歲_79歲,80～84歲_合計,80～84歲_80歲,80～84歲_81歲,80～84歲_82歲,80～84歲_83歲,80～84歲_84歲,85～89歲_合計,85～89歲_85歲,85～89歲_86歲,85～89歲_87歲,85～89歲_88歲,85～89歲_89歲,90～94歲_合計,90～94歲_90歲,90～94歲_91歲,90～94歲_92歲,90～94歲_93歲,90～94歲_94歲,95～99歲_合計,95～99歲_95歲,95～99歲_96歲,95～99歲_97歲,95～99歲_98歲,95～99歲_99歲,100歲以上
10018000,總計,計,455797,16309,2339,3268,3474,3419,3809,23237,4032,4460,4552,4952,5241,28637,5611,5929,5412,6074,5611,23367,4375,4697,4770,4969,4556,23142,4426,4528,4435,4836,4917,27320,5626,5183,4955,5595,5961,30161,6072,5914,5969,6121,6085,31654,6360,6313,6596,6273,6112,38923,6630,7331,7869,8332,8761,43133,9032,8908,8638,7959,8596,34525,7471,7066,6707,6574,6707,31464,6690,6586,6467,5974,5747,28902,5919,5922,5744,5784,5533,25080,5287,5257,5286,4676,4574,21264,4558,4548,4255,3950,3953,13374,3413,2880,2771,2226,2084,7478,1381,1591,1584,1543,1379,4992,1302,1134,1012,843,701,2026,560,515,367,343,241,669,223,155,133,100,58,140
10018000,總計,男,224778,8493,1194,1764,1822,1756,1957,12040,2092,2359,2356,2581,2652,14868,2859,3115,2811,3139,2944,12264,2263,2421,2529,2689,2362,12103,2325,2329,2312,2545,2592,14175,2926,2674,2594,2894,3087,15579,3117,3073,3029,3204,3156,16116,3287,3223,3363,3173,3070,18859,3272,3495,3766,4062,4264,20939,4351,4266,4214,3880,4228,16943,3669,3473,3377,3178,3246,15372,3290,3202,3125,2940,2815,13999,2881,2882,2786,2782,2668,11694,2515,2468,2492,2205,2014,9663,2081,2055,1993,1781,1753,5837,1528,1239,1194,983,893,2973,582,629,630,610,522,1792,480,419,339,293,261,733,194,177,142,120,100,270,88,52,49,46,35,66
10018000,總計,女,231019,7816,1145,1504,1652,1663,1852,11197,1940,2101,2196,2371,2589,13769,2752,2814,2601,2935,2667,11103,2112,2276,2241,2280,2194,11039,2101,2199,2123,2291,2325,13145,2700,2509,2361,2701,2874,14582,2955,2841,2940,2917,2929,15538,3073,3090,3233,3100,3042,20064,3358,3836,4103,4270,4497,22194,4681,4642,4424,4079,4368,17582,3802,3593,3330,3396,3461,16092,3400,3384,3342,3034,2932,14903,3038,3040,2958,3002,2865,13386,2772,2789,2794,2471,2560,11601,2477,2493,2262,2169,2200,7537,1885,1641,1577,1243,1191,4505,799,962,954,933,857,3200,822,715,673,550,440,1293,366,338,225,223,141,399,135,103,84,54,23,74
10018010,東區,計,221935,8784,1172,1719,1866,1869,2158,13869,2247,2584,2739,3011,3288,17545,3570,3817,3397,3585,3176,12127,2435,2472,2456,2487,2277,10765,2073,2140,2097,2206,2249,12315,2622,2345,2194,2475,2679,13743,2700,2677,2708,2879,2779,15168,2938,2963,3206,3010,3051,19197,3268,3613,3827,4148,4341,21173,4413,4435,4237,3886,4202,16368,3663,3370,3135,3059,3141,14314,3092,3002,2987,2642,2591,12873,2670,2671,2588,2504,2440,11065,2328,2261,2325,2081,2070,9344,2030,1999,1821,1761,1733,6043,1543,1290,1242,1016,952,3437,629,707,741,723,637,2376,615,519,489,403,350,982,257,265,160,177,123,350,114,78,74,52,32,97
10018010,東區,男,109483,4621,602,935,990,947,1147,7240,1174,1376,1440,1577,1673,9143,1836,2022,1740,1874,1671,6401,1255,1284,1298,1353,1211,5611,1084,1114,1094,1153,1166,6448,1368,1225,1163,1277,1415,7061,1383,1401,1396,1483,1398,7599,1515,1488,1626,1466,1504,9076,1540,1653,1784,2014,2085,10047,2045,2086,1996,1869,2051,8083,1810,1654,1599,1497,1523,7050,1513,1473,1479,1323,1262,6226,1281,1292,1256,1222,1175,5255,1141,1097,1115,974,928,4313,926,919,865,826,777,2570,672,537,513,446,402,1346,270,289,277,273,237,850,229,205,155,146,115,357,83,97,58,61,58,139,40,28,24,26,21,47
10018010,東區,女,112452,4163,570,784,876,922,1011,6629,1073,1208,1299,1434,1615,8402,1734,1795,1657,1711,1505,5726,1180,1188,1158,1134,1066,5154,989,1026,1003,1053,1083,5867,1254,1120,1031,1198,1264,6682,1317,1276,1312,1396,1381,7569,1423,1475,1580,1544,1547,10121,1728,1960,2043,2134,2256,11126,2368,2349,2241,2017,2151,8285,1853,1716,1536,1562,1618,7264,1579,1529,1508,1319,1329,6647,1389,1379,1332,1282,1265,5810,1187,1164,1210,1107,1142,5031,1104,1080,956,935,956,3473,871,753,729,570,550,2091,359,418,464,450,400,1526,386,314,334,257,235,625,174,168,102,116,65,211,74,50,50,26,11,50
10018010001,南門里,計,747,15,5,4,0,3,3,21,4,3,5,2,7,12,2,2,3,1,4,20,4,0,5,6,5,27,6,3,4,6,8,39,9,6,7,9,8,46,9,7,11,14,5,48,9,12,12,9,6,53,11,6,8,17,11,62,10,10,12,13,17,58,14,14,16,8,6,59,15,16,15,5,8,66,15,15,12,8,16,56,11,12,10,11,12,58,15,10,9,8,16,50,13,13,8,9,7,32,6,3,8,7,8,14,4,0,1,4,5,6,1,0,2,2,1,3,2,0,1,0,0,2
10018010001,南門里,男,365,8,3,3,0,0,2,12,2,3,2,1,4,8,1,0,3,1,3,9,0,0,4,3,2,10,2,1,2,3,2,16,2,3,5,3,3,27,7,4,6,7,3,27,4,8,7,3,5,23,5,2,5,8,3,26,5,3,4,7,7,29,7,5,10,4,3,33,7,9,7,4,6,39,6,10,7,7,9,25,6,3,6,5,5,24,10,4,3,2,5,27,9,5,4,4,5,15,3,2,4,1,5,4,2,0,0,2,0,1,0,0,1,0,0,2,1,0,1,0,0,0
10018010001,南門里,女,382,7,2,1,0,3,1,9,2,0,3,1,3,4,1,2,0,0,1,11,4,0,1,3,3,17,4,2,2,3,6,23,7,3,2,6,5,19,2,3,5,7,2,21,5,4,5,6,1,30,6,4,3,9,8,36,5,7,8,6,10,29,7,9,6,4,3,26,8,7,8,1,2,27,9,5,5,1,7,31,5,9,4,6,7,34,5,6,6,6,11,23,4,8,4,5,2,17,3,1,4,6,3,10,2,0,1,2,5,5,1,0,1,2,1,1,1,0,0,0,0,2
10018010002,福德里,計,1618,44,2,11,13,6,12,48,10,10,10,9,9,46,13,9,8,5,11,66,10,10,13,16,17,83,19,23,6,12,23,100,16,17,11,21,35,102,27,15,21,27,12,108,24,23,23,19,19,121,20,28,16,33,24,118,24,29,17,19,29,110,21,21,22,28,18,129,35,22,21,28,23,141,22,42,27,21,29,122,24,28,24,26,20,99,23,19,21,18,18,75,15,16,16,15,13,42,7,7,11,6,11,36,5,6,6,8,11,23,6,8,4,3,2,4,2,1,0,0,1,1
