公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10121-00-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之1,新竹市各區　村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國114年10月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03310,單位：戶；人；對,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,性別,人口數,遷入人數_合計,遷入人數_自國外,遷入人數_自他省(市)_新北市,遷入人數_自他省(市)_臺北市,遷入人數_自他省(市)_桃園市,遷入人數_自他省(市)_臺中市,遷入人數_自他省(市)_臺南市,遷入人數_自他省(市)_高雄市,遷入人數_自他省(市)_臺灣省,遷入人數_自他省(市)_福建省,遷入人數_自他省(市)_其他省(市),遷入人數_自本省他縣(市),遷入人數_自本縣(市)他鄉(鎮市區),遷入人數_初設戶籍,遷入人數_其他,遷出人數_合計,遷出人數_往國外,遷出人數_往他省(市)_新北市,遷出人數_往他省(市)_臺北市,遷出人數_往他省(市)_桃園市,遷出人數_往他省(市)_臺中市,遷出人數_往他省(市)_臺南市,遷出人數_往他省(市)_高雄市,遷出人數_往他省(市)_臺灣省,遷出人數_往他省(市)_福建省,遷出人數_往他省(市)_其他省(市),遷出人數_往本省他縣(市),遷出人數_往本縣(市)他鄉(鎮市區),遷出人數_廢止戶籍,遷出人數_其他,住址變更人數_入,住址變更人數_出,行政區域調整人數_增,行政區域調整人數_減,嬰兒出生總數_合計,嬰兒出生總數_婚生,嬰兒出生總數_非婚生_已認領,嬰兒出生總數_非婚生_未認領,嬰兒出生總數_無依兒童,生母原屬國籍(地區)_大陸港澳地區,生母原屬國籍(地區)_外國籍,生父原屬國籍(地區)_大陸港澳地區,生父原屬國籍(地區)_外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_合計,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_合計,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
10018000,總計,,,,,,計,455240,1165,64,54,47,59,42,24,37,0,4,0,299,509,26,0,1167,110,56,71,73,48,17,17,0,3,0,263,509,0,0,737,737,0,0,193,188,4,1,0,2,8,3,1,0,2,0,226,6,2,3,23,4,79,222,220,2,85,85,0
10018000,總計,122,122,2182,2162,189108,男,224645,541,29,22,30,31,18,16,17,0,4,0,140,226,8,0,546,59,23,31,35,24,11,9,0,3,0,125,226,0,0,331,331,0,0,95,93,1,1,0,1,4,2,1,0,1,0,133,1,2,1,13,2,44,,,0,,,0
10018000,總計,,,,,,女,230595,624,35,32,17,28,24,8,20,0,0,0,159,283,18,0,621,51,33,40,38,24,6,8,0,0,0,138,283,0,0,406,406,0,0,98,95,3,0,0,1,4,1,0,0,1,0,93,5,0,2,10,2,35,,,2,,,0
10018010,東區,,,,,,計,221890,498,32,31,36,27,20,13,23,0,3,0,125,173,15,0,585,74,31,48,37,21,8,7,0,2,0,133,224,0,0,383,383,0,0,81,81,0,0,0,0,2,2,1,0,0,0,101,0,2,3,5,1,33,88,86,2,31,31,0
10018010,東區,53,53,1025,1015,92291,男,109526,234,14,13,21,13,9,7,12,0,3,0,55,82,5,0,271,44,12,17,19,13,6,4,0,2,0,61,93,0,0,170,170,0,0,42,42,0,0,0,0,1,1,1,0,0,0,56,0,2,1,3,0,25,,,0,,,0
10018010,東區,,,,,,女,112364,264,18,18,15,14,11,6,11,0,0,0,70,91,10,0,314,30,19,31,18,8,2,3,0,0,0,72,131,0,0,213,213,0,0,39,39,0,0,0,0,1,1,0,0,0,0,45,0,0,2,2,1,8,,,2,,,0
10018020,北區,,,,,,計,153849,423,26,20,9,22,14,10,11,0,1,0,99,204,7,0,381,32,19,16,30,15,5,5,0,0,0,72,187,0,0,276,276,0,0,79,76,2,1,0,0,5,0,0,0,0,0,83,4,0,0,17,2,37,94,94,0,41,41,0
10018020,北區,45,45,782,772,65375,男,74952,193,11,7,8,13,6,8,4,0,1,0,47,86,2,0,177,12,9,10,12,6,3,3,0,0,0,33,89,0,0,127,127,0,0,38,37,0,1,0,0,3,0,0,0,0,0,48,0,0,0,10,1,14,,,0,,,0
10018020,北區,,,,,,女,78897,230,15,13,1,9,8,2,7,0,0,0,52,118,5,0,204,20,10,6,18,9,2,2,0,0,0,39,98,0,0,149,149,0,0,41,39,2,0,0,0,2,0,0,0,0,0,35,4,0,0,7,1,23,,,0,,,0
10018030,香山區,,,,,,計,79501,244,6,3,2,10,8,1,3,0,0,0,75,132,4,0,201,4,6,7,6,12,4,5,0,1,0,58,98,0,0,78,78,0,0,33,31,2,0,0,2,1,1,0,0,2,0,42,2,0,0,1,1,9,40,40,0,13,13,0
10018030,香山區,24,24,375,375,31442,男,40167,114,4,2,1,5,3,1,1,0,0,0,38,58,1,0,98,3,2,4,4,5,2,2,0,1,0,31,44,0,0,34,34,0,0,15,14,1,0,0,1,0,1,0,0,1,0,29,1,0,0,0,1,5,,,0,,,0
10018030,香山區,,,,,,女,39334,130,2,1,1,5,5,0,2,0,0,0,37,74,3,0,103,1,4,3,2,7,2,3,0,0,0,27,54,0,0,44,44,0,0,18,17,1,0,0,1,1,0,0,0,1,0,13,1,0,0,1,0,4,,,0,,,0
