公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10121-00-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之1,新竹市各區　村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國114年11月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03310,單位：戶；人；對,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,性別,人口數,遷入人數_合計,遷入人數_自國外,遷入人數_自他省(市)_新北市,遷入人數_自他省(市)_臺北市,遷入人數_自他省(市)_桃園市,遷入人數_自他省(市)_臺中市,遷入人數_自他省(市)_臺南市,遷入人數_自他省(市)_高雄市,遷入人數_自他省(市)_臺灣省,遷入人數_自他省(市)_福建省,遷入人數_自他省(市)_其他省(市),遷入人數_自本省他縣(市),遷入人數_自本縣(市)他鄉(鎮市區),遷入人數_初設戶籍,遷入人數_其他,遷出人數_合計,遷出人數_往國外,遷出人數_往他省(市)_新北市,遷出人數_往他省(市)_臺北市,遷出人數_往他省(市)_桃園市,遷出人數_往他省(市)_臺中市,遷出人數_往他省(市)_臺南市,遷出人數_往他省(市)_高雄市,遷出人數_往他省(市)_臺灣省,遷出人數_往他省(市)_福建省,遷出人數_往他省(市)_其他省(市),遷出人數_往本省他縣(市),遷出人數_往本縣(市)他鄉(鎮市區),遷出人數_廢止戶籍,遷出人數_其他,住址變更人數_入,住址變更人數_出,行政區域調整人數_增,行政區域調整人數_減,嬰兒出生總數_合計,嬰兒出生總數_婚生,嬰兒出生總數_非婚生_已認領,嬰兒出生總數_非婚生_未認領,嬰兒出生總數_無依兒童,生母原屬國籍(地區)_大陸港澳地區,生母原屬國籍(地區)_外國籍,生父原屬國籍(地區)_大陸港澳地區,生父原屬國籍(地區)_外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_合計,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_合計,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
10018000,總計,,,,,,計,455449,1174,70,62,45,52,49,16,29,0,4,0,317,500,30,0,941,49,49,38,51,47,14,25,0,1,0,167,500,0,0,733,733,0,0,187,181,2,4,0,4,8,0,2,0,10,0,211,2,11,1,10,1,67,195,188,7,71,70,1
10018000,總計,122,122,2182,2162,189214,男,224714,525,24,31,23,25,14,9,12,0,4,0,144,226,13,0,443,17,28,18,27,22,4,11,0,0,0,90,226,0,0,374,374,0,0,98,94,1,3,0,1,2,0,1,0,5,0,111,1,5,0,4,0,32,,,2,,,0
10018000,總計,,,,,,女,230735,649,46,31,22,27,35,7,17,0,0,0,173,274,17,0,498,32,21,20,24,25,10,14,0,1,0,77,274,0,0,359,359,0,0,89,87,1,1,0,3,6,0,1,0,5,0,100,1,6,1,6,1,35,,,5,,,1
10018010,東區,,,,,,計,221977,514,32,33,27,29,32,8,17,0,2,0,159,163,12,0,444,30,29,23,18,23,7,9,0,0,0,82,223,0,0,365,365,0,0,97,95,1,1,0,4,3,0,2,0,10,0,80,1,3,0,2,1,28,95,92,3,27,26,1
10018010,東區,53,53,1025,1015,92334,男,109559,229,12,19,12,16,10,5,9,0,2,0,63,75,6,0,203,8,18,10,10,13,3,6,0,0,0,40,95,0,0,194,194,0,0,51,49,1,1,0,1,1,0,1,0,5,0,44,1,1,0,0,0,11,,,2,,,0
10018010,東區,,,,,,女,112418,285,20,14,15,13,22,3,8,0,0,0,96,88,6,0,241,22,11,13,8,10,4,3,0,0,0,42,128,0,0,171,171,0,0,46,46,0,0,0,3,2,0,1,0,5,0,36,0,2,0,2,1,17,,,1,,,1
10018020,北區,,,,,,計,153929,429,26,18,15,17,10,7,8,0,1,0,94,221,12,0,312,14,15,14,16,19,5,9,0,1,0,55,164,0,0,288,288,0,0,57,54,1,2,0,0,4,0,0,0,0,0,94,1,5,0,5,0,26,56,55,1,31,31,0
10018020,北區,45,45,782,772,65421,男,74963,196,9,5,11,8,2,4,2,0,1,0,47,105,2,0,165,7,8,8,9,7,0,4,0,0,0,40,82,0,0,138,138,0,0,29,27,0,2,0,0,1,0,0,0,0,0,49,0,2,0,2,0,12,,,0,,,0
10018020,北區,,,,,,女,78966,233,17,13,4,9,8,3,6,0,0,0,47,116,10,0,147,7,7,6,7,12,5,5,0,1,0,15,82,0,0,150,150,0,0,28,27,1,0,0,0,3,0,0,0,0,0,45,1,3,0,3,0,14,,,1,,,0
10018030,香山區,,,,,,計,79543,231,12,11,3,6,7,1,4,0,1,0,64,116,6,0,185,5,5,1,17,5,2,7,0,0,0,30,113,0,0,80,80,0,0,33,32,0,1,0,0,1,0,0,0,0,0,37,0,3,1,3,0,13,44,41,3,13,13,0
