公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10121-00-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之1,新竹市各區　村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國114年12月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03310,單位：戶；人；對,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,性別,人口數,遷入人數_合計,遷入人數_自國外,遷入人數_自他省(市)_新北市,遷入人數_自他省(市)_臺北市,遷入人數_自他省(市)_桃園市,遷入人數_自他省(市)_臺中市,遷入人數_自他省(市)_臺南市,遷入人數_自他省(市)_高雄市,遷入人數_自他省(市)_臺灣省,遷入人數_自他省(市)_福建省,遷入人數_自他省(市)_其他省(市),遷入人數_自本省他縣(市),遷入人數_自本縣(市)他鄉(鎮市區),遷入人數_初設戶籍,遷入人數_其他,遷出人數_合計,遷出人數_往國外,遷出人數_往他省(市)_新北市,遷出人數_往他省(市)_臺北市,遷出人數_往他省(市)_桃園市,遷出人數_往他省(市)_臺中市,遷出人數_往他省(市)_臺南市,遷出人數_往他省(市)_高雄市,遷出人數_往他省(市)_臺灣省,遷出人數_往他省(市)_福建省,遷出人數_往他省(市)_其他省(市),遷出人數_往本省他縣(市),遷出人數_往本縣(市)他鄉(鎮市區),遷出人數_廢止戶籍,遷出人數_其他,住址變更人數_入,住址變更人數_出,行政區域調整人數_增,行政區域調整人數_減,嬰兒出生總數_合計,嬰兒出生總數_婚生,嬰兒出生總數_非婚生_已認領,嬰兒出生總數_非婚生_未認領,嬰兒出生總數_無依兒童,生母原屬國籍(地區)_大陸港澳地區,生母原屬國籍(地區)_外國籍,生父原屬國籍(地區)_大陸港澳地區,生父原屬國籍(地區)_外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_合計,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_合計,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
10018000,總計,,,,,,計,455740,1463,91,97,66,89,52,39,37,0,8,0,371,587,26,0,1148,67,57,64,45,43,30,17,0,5,0,229,587,2,2,894,894,0,0,214,207,4,3,0,3,12,0,1,0,10,0,238,6,3,1,21,12,86,214,203,11,81,80,1
10018000,總計,122,122,2182,2162,189365,男,224870,675,38,54,34,41,20,25,15,0,5,0,173,262,8,0,513,29,22,31,17,17,12,5,0,3,0,114,262,1,0,431,431,0,0,122,119,2,1,0,3,7,0,0,0,2,0,128,4,3,0,12,6,42,,,3,,,0
10018000,總計,,,,,,女,230870,788,53,43,32,48,32,14,22,0,3,0,198,325,18,0,635,38,35,33,28,26,18,12,0,2,0,115,325,1,2,463,463,0,0,92,88,2,2,0,0,5,0,1,0,8,0,110,2,0,1,9,6,44,,,8,,,1
10018010,東區,,,,,,計,222219,735,60,57,38,42,27,19,25,0,5,0,195,248,19,0,512,44,27,35,25,20,14,6,0,4,0,107,229,1,0,463,463,0,0,115,113,0,2,0,3,2,0,0,0,4,0,96,2,1,1,11,7,33,106,100,6,32,32,0
10018010,東區,53,53,1025,1015,92409,男,109689,331,26,36,21,18,11,13,9,0,3,0,86,103,5,0,227,18,10,19,9,6,5,2,0,2,0,54,101,1,0,218,218,0,0,66,65,0,1,0,3,1,0,0,0,2,0,40,2,1,0,4,5,14,,,2,,,0
10018010,東區,,,,,,女,112530,404,34,21,17,24,16,6,16,0,2,0,109,145,14,0,285,26,17,16,16,14,9,4,0,2,0,53,128,0,0,245,245,0,0,49,48,0,1,0,0,1,0,0,0,2,0,56,0,0,1,7,2,19,,,4,,,0
10018020,北區,,,,,,計,153915,458,22,20,24,27,15,14,7,0,2,0,110,211,6,0,446,20,22,21,17,16,10,7,0,1,0,79,250,1,2,332,332,0,0,70,65,4,1,0,0,6,0,0,0,2,0,96,4,0,0,7,4,36,68,65,3,30,29,1
10018020,北區,45,45,782,772,65473,男,74960,217,9,9,12,15,4,9,3,0,1,0,56,97,2,0,203,9,8,9,6,7,4,3,0,1,0,45,111,0,0,164,164,0,0,41,39,2,0,0,0,4,0,0,0,0,0,58,2,0,0,7,0,17,,,0,,,0
10018020,北區,,,,,,女,78955,241,13,11,12,12,11,5,4,0,1,0,54,114,4,0,243,11,14,12,11,9,6,4,0,0,0,34,139,1,2,168,168,0,0,29,26,2,1,0,0,2,0,0,0,2,0,38,2,0,0,0,4,19,,,3,,,1
10018030,香山區,,,,,,計,79606,270,9,20,4,20,10,6,5,0,1,0,66,128,1,0,190,3,8,8,3,7,6,4,0,0,0,43,108,0,0,99,99,0,0,29,29,0,0,0,0,4,0,1,0,4,0,46,0,2,0,3,1,17,40,38,2,19,19,0
10018030,香山區,24,24,375,375,31483,男,40221,127,3,9,1,8,5,3,3,0,1,0,31,62,1,0,83,2,4,3,2,4,3,0,0,0,0,15,50,0,0,49,49,0,0,15,15,0,0,0,0,2,0,0,0,0,0,30,0,2,0,1,1,11,,,1,,,0
10018030,香山區,,,,,,女,39385,143,6,11,3,12,5,3,2,0,0,0,35,66,0,0,107,1,4,5,1,3,3,4,0,0,0,28,58,0,0,50,50,0,0,14,14,0,0,0,0,2,0,1,0,4,0,16,0,0,0,2,0,6,,,1,,,0
