公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10121-00-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之1,新竹市各區　村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年01月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03310,單位：戶；人；對,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,性別,人口數,遷入人數_合計,遷入人數_自國外,遷入人數_自他省(市)_新北市,遷入人數_自他省(市)_臺北市,遷入人數_自他省(市)_桃園市,遷入人數_自他省(市)_臺中市,遷入人數_自他省(市)_臺南市,遷入人數_自他省(市)_高雄市,遷入人數_自他省(市)_臺灣省,遷入人數_自他省(市)_福建省,遷入人數_自他省(市)_其他省(市),遷入人數_自本省他縣(市),遷入人數_自本縣(市)他鄉(鎮市區),遷入人數_初設戶籍,遷入人數_其他,遷出人數_合計,遷出人數_往國外,遷出人數_往他省(市)_新北市,遷出人數_往他省(市)_臺北市,遷出人數_往他省(市)_桃園市,遷出人數_往他省(市)_臺中市,遷出人數_往他省(市)_臺南市,遷出人數_往他省(市)_高雄市,遷出人數_往他省(市)_臺灣省,遷出人數_往他省(市)_福建省,遷出人數_往他省(市)_其他省(市),遷出人數_往本省他縣(市),遷出人數_往本縣(市)他鄉(鎮市區),遷出人數_廢止戶籍,遷出人數_其他,住址變更人數_入,住址變更人數_出,行政區域調整人數_增,行政區域調整人數_減,嬰兒出生總數_合計,嬰兒出生總數_婚生,嬰兒出生總數_非婚生_已認領,嬰兒出生總數_非婚生_未認領,嬰兒出生總數_無依兒童,生母原屬國籍(地區)_大陸港澳地區,生母原屬國籍(地區)_外國籍,生父原屬國籍(地區)_大陸港澳地區,生父原屬國籍(地區)_外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_合計,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_合計,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
10018000,總計,,,,,,計,456003,1290,60,96,65,93,39,29,42,0,6,0,421,430,9,0,949,115,50,43,54,40,16,20,0,1,0,180,430,0,0,743,743,0,0,163,155,7,1,0,1,7,0,1,0,3,3,241,8,2,0,19,3,73,179,176,3,74,72,2
10018000,總計,122,122,2182,2162,189449,男,224953,613,30,51,38,37,22,18,24,0,3,0,182,205,3,0,456,48,25,22,22,19,8,10,0,1,0,96,205,0,0,374,374,0,0,75,70,5,0,0,0,2,0,1,0,1,2,149,5,1,0,11,0,30,,,2,,,0
10018000,總計,,,,,,女,231050,677,30,45,27,56,17,11,18,0,3,0,239,225,6,0,493,67,25,21,32,21,8,10,0,0,0,84,225,0,0,369,369,0,0,88,85,2,1,0,1,5,0,0,0,2,1,92,3,1,0,8,3,43,,,1,,,2
10018010,東區,,,,,,計,222301,564,29,43,30,35,17,17,20,0,4,0,222,143,4,0,461,60,25,29,26,18,8,11,0,0,0,105,179,0,0,351,351,0,0,80,76,4,0,0,0,4,0,1,0,1,0,101,4,1,0,10,3,39,74,72,2,34,33,1
10018010,東區,53,53,1025,1015,92450,男,109707,274,12,28,21,10,11,12,12,0,2,0,104,61,1,0,227,29,10,13,11,9,4,7,0,0,0,59,85,0,0,180,180,0,0,36,33,3,0,0,0,2,0,1,0,1,0,65,3,0,0,7,0,18,,,2,,,0
10018010,東區,,,,,,女,112594,290,17,15,9,25,6,5,8,0,2,0,118,82,3,0,234,31,15,16,15,9,4,4,0,0,0,46,94,0,0,171,171,0,0,44,43,1,0,0,0,2,0,0,0,0,0,36,1,1,0,3,3,21,,,0,,,1
10018020,北區,,,,,,計,154041,484,25,38,20,37,14,6,18,0,2,0,140,182,2,0,329,45,15,13,18,14,8,8,0,1,0,47,160,0,0,272,272,0,0,57,55,2,0,0,1,1,0,0,0,2,3,86,3,1,0,7,0,24,67,67,0,27,26,1
10018020,北區,45,45,782,772,65505,男,75001,223,13,17,10,17,7,3,11,0,1,0,56,87,1,0,155,15,13,9,7,8,4,3,0,1,0,24,71,0,0,129,129,0,0,28,27,1,0,0,0,0,0,0,0,0,2,55,1,1,0,2,0,6,,,0,,,0
10018020,北區,,,,,,女,79040,261,12,21,10,20,7,3,7,0,1,0,84,95,1,0,174,30,2,4,11,6,4,5,0,0,0,23,89,0,0,143,143,0,0,29,28,1,0,0,1,1,0,0,0,2,1,31,2,0,0,5,0,18,,,0,,,1
10018030,香山區,,,,,,計,79661,242,6,15,15,21,8,6,4,0,0,0,59,105,3,0,159,10,10,1,10,8,0,1,0,0,0,28,91,0,0,120,120,0,0,26,24,1,1,0,0,2,0,0,0,0,0,54,1,0,0,2,0,10,38,37,1,13,13,0
10018030,香山區,24,24,375,375,31494,男,40245,116,5,6,7,10,4,3,1,0,0,0,22,57,1,0,74,4,2,0,4,2,0,0,0,0,0,13,49,0,0,65,65,0,0,11,10,1,0,0,0,0,0,0,0,0,0,29,1,0,0,2,0,6,,,0,,,0
10018030,香山區,,,,,,女,39416,126,1,9,8,11,4,3,3,0,0,0,37,48,2,0,85,6,8,1,6,6,0,1,0,0,0,15,42,0,0,55,55,0,0,15,14,0,1,0,0,2,0,0,0,0,0,25,0,0,0,0,0,4,,,1,,,0
