公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10121-00-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之1,新竹市各區　村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年02月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03310,單位：戶；人；對,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,性別,人口數,遷入人數_合計,遷入人數_自國外,遷入人數_自他省(市)_新北市,遷入人數_自他省(市)_臺北市,遷入人數_自他省(市)_桃園市,遷入人數_自他省(市)_臺中市,遷入人數_自他省(市)_臺南市,遷入人數_自他省(市)_高雄市,遷入人數_自他省(市)_臺灣省,遷入人數_自他省(市)_福建省,遷入人數_自他省(市)_其他省(市),遷入人數_自本省他縣(市),遷入人數_自本縣(市)他鄉(鎮市區),遷入人數_初設戶籍,遷入人數_其他,遷出人數_合計,遷出人數_往國外,遷出人數_往他省(市)_新北市,遷出人數_往他省(市)_臺北市,遷出人數_往他省(市)_桃園市,遷出人數_往他省(市)_臺中市,遷出人數_往他省(市)_臺南市,遷出人數_往他省(市)_高雄市,遷出人數_往他省(市)_臺灣省,遷出人數_往他省(市)_福建省,遷出人數_往他省(市)_其他省(市),遷出人數_往本省他縣(市),遷出人數_往本縣(市)他鄉(鎮市區),遷出人數_廢止戶籍,遷出人數_其他,住址變更人數_入,住址變更人數_出,行政區域調整人數_增,行政區域調整人數_減,嬰兒出生總數_合計,嬰兒出生總數_婚生,嬰兒出生總數_非婚生_已認領,嬰兒出生總數_非婚生_未認領,嬰兒出生總數_無依兒童,生母原屬國籍(地區)_大陸港澳地區,生母原屬國籍(地區)_外國籍,生父原屬國籍(地區)_大陸港澳地區,生父原屬國籍(地區)_外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_合計,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_合計,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
10018000,總計,,,,,,計,455961,1214,64,76,66,88,43,33,27,0,12,0,339,428,38,0,1193,81,66,65,60,57,50,29,0,4,0,353,428,0,0,608,608,0,0,153,144,5,4,0,1,8,1,3,0,6,0,216,5,4,0,15,3,53,130,127,3,38,35,3
10018000,總計,122,122,2182,2162,189529,男,224921,538,30,40,30,41,21,15,14,0,5,0,144,188,10,0,542,32,30,29,28,19,22,16,0,3,0,175,188,0,0,286,286,0,0,84,80,3,1,0,0,5,0,1,0,5,0,112,3,3,0,8,1,26,,,0,,,1
10018000,總計,,,,,,女,231040,676,34,36,36,47,22,18,13,0,7,0,195,240,28,0,651,49,36,36,32,38,28,13,0,1,0,178,240,0,0,322,322,0,0,69,64,2,3,0,1,3,1,2,0,1,0,104,2,1,0,7,2,27,,,3,,,2
10018010,東區,,,,,,計,222153,500,35,33,44,37,16,17,9,0,7,0,151,130,21,0,627,40,38,42,28,37,32,16,0,1,0,197,196,0,0,284,284,0,0,82,77,2,3,0,1,2,1,2,0,6,0,103,2,2,0,3,1,24,56,54,2,18,16,2
10018010,東區,53,53,1025,1015,92413,男,109629,224,15,19,18,21,8,11,5,0,4,0,61,56,6,0,290,15,20,16,12,13,15,8,0,1,0,97,93,0,0,130,130,0,0,45,43,1,1,0,0,1,0,0,0,5,0,57,1,2,0,3,1,9,,,0,,,1
10018010,東區,,,,,,女,112524,276,20,14,26,16,8,6,4,0,3,0,90,74,15,0,337,25,18,26,16,24,17,8,0,0,0,100,103,0,0,154,154,0,0,37,34,1,2,0,1,1,1,2,0,1,0,46,1,0,0,0,0,15,,,2,,,1
10018020,北區,,,,,,計,154124,458,26,28,20,34,18,12,10,0,5,0,109,183,13,0,347,31,24,14,23,10,10,10,0,1,0,99,125,0,0,217,217,0,0,46,43,2,1,0,0,4,0,0,0,0,0,74,2,2,0,6,2,10,44,44,0,10,9,1
10018020,北區,45,45,782,772,65589,男,75045,206,14,18,10,15,9,3,3,0,1,0,46,84,3,0,156,11,10,7,11,4,5,6,0,1,0,46,55,0,0,105,105,0,0,26,24,2,0,0,0,3,0,0,0,0,0,32,2,1,0,3,0,8,,,0,,,0
10018020,北區,,,,,,女,79079,252,12,10,10,19,9,9,7,0,4,0,63,99,10,0,191,20,14,7,12,6,5,4,0,0,0,53,70,0,0,112,112,0,0,20,19,0,1,0,0,1,0,0,0,0,0,42,0,1,0,3,2,2,,,0,,,1
10018030,香山區,,,,,,計,79684,256,3,15,2,17,9,4,8,0,0,0,79,115,4,0,219,10,4,9,9,10,8,3,0,2,0,57,107,0,0,107,107,0,0,25,24,1,0,0,0,2,0,1,0,0,0,39,1,0,0,6,0,19,30,29,1,10,10,0
10018030,香山區,24,24,375,375,31527,男,40247,108,1,3,2,5,4,1,6,0,0,0,37,48,1,0,96,6,0,6,5,2,2,2,0,1,0,32,40,0,0,51,51,0,0,13,13,0,0,0,0,1,0,1,0,0,0,23,0,0,0,2,0,9,,,0,,,0
10018030,香山區,,,,,,女,39437,148,2,12,0,12,5,3,2,0,0,0,42,67,3,0,123,4,4,3,4,8,6,1,0,1,0,25,67,0,0,56,56,0,0,12,11,1,0,0,0,1,0,0,0,0,0,16,1,0,0,4,0,10,,,1,,,0
