公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10121-00-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之1,新竹市各區　村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年03月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03310,單位：戶；人；對,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,性別,人口數,遷入人數_合計,遷入人數_自國外,遷入人數_自他省(市)_新北市,遷入人數_自他省(市)_臺北市,遷入人數_自他省(市)_桃園市,遷入人數_自他省(市)_臺中市,遷入人數_自他省(市)_臺南市,遷入人數_自他省(市)_高雄市,遷入人數_自他省(市)_臺灣省,遷入人數_自他省(市)_福建省,遷入人數_自他省(市)_其他省(市),遷入人數_自本省他縣(市),遷入人數_自本縣(市)他鄉(鎮市區),遷入人數_初設戶籍,遷入人數_其他,遷出人數_合計,遷出人數_往國外,遷出人數_往他省(市)_新北市,遷出人數_往他省(市)_臺北市,遷出人數_往他省(市)_桃園市,遷出人數_往他省(市)_臺中市,遷出人數_往他省(市)_臺南市,遷出人數_往他省(市)_高雄市,遷出人數_往他省(市)_臺灣省,遷出人數_往他省(市)_福建省,遷出人數_往他省(市)_其他省(市),遷出人數_往本省他縣(市),遷出人數_往本縣(市)他鄉(鎮市區),遷出人數_廢止戶籍,遷出人數_其他,住址變更人數_入,住址變更人數_出,行政區域調整人數_增,行政區域調整人數_減,嬰兒出生總數_合計,嬰兒出生總數_婚生,嬰兒出生總數_非婚生_已認領,嬰兒出生總數_非婚生_未認領,嬰兒出生總數_無依兒童,生母原屬國籍(地區)_大陸港澳地區,生母原屬國籍(地區)_外國籍,生父原屬國籍(地區)_大陸港澳地區,生父原屬國籍(地區)_外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_合計,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_合計,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
10018000,總計,,,,,,計,455843,2135,89,120,118,150,84,40,48,0,11,0,629,812,34,0,2145,94,132,103,162,150,56,46,0,2,0,585,812,1,2,1285,1285,0,0,189,182,2,5,0,6,4,1,1,0,2,0,297,2,3,0,14,5,79,196,190,6,100,98,2
10018000,總計,122,122,2182,2162,189836,男,224852,1005,42,54,67,64,46,21,25,0,8,0,302,366,10,0,993,44,59,52,73,62,29,30,0,1,0,277,366,0,0,592,592,0,0,89,87,0,2,0,2,2,0,0,0,1,0,170,0,2,0,8,2,50,,,2,,,0
10018000,總計,,,,,,女,230991,1130,47,66,51,86,38,19,23,0,3,0,327,446,24,0,1152,50,73,51,89,88,27,16,0,1,0,308,446,1,2,693,693,0,0,100,95,2,3,0,4,2,1,1,0,1,0,127,2,1,0,6,3,29,,,4,,,2
10018010,東區,,,,,,計,222060,1017,45,65,70,78,46,23,31,0,7,0,314,321,17,0,1068,56,71,74,88,88,29,34,0,1,0,321,305,0,1,698,698,0,0,82,82,0,0,0,3,3,0,0,0,2,0,124,0,1,0,5,2,40,93,89,4,49,49,0
10018010,東區,53,53,1025,1015,92549,男,109565,474,20,26,40,32,27,12,16,0,5,0,154,137,5,0,501,26,36,34,40,38,16,21,0,1,0,147,142,0,0,315,315,0,0,40,40,0,0,0,1,2,0,0,0,1,0,77,0,0,0,4,0,26,,,1,,,0
10018010,東區,,,,,,女,112495,543,25,39,30,46,19,11,15,0,2,0,160,184,12,0,567,30,35,40,48,50,13,13,0,0,0,174,163,0,1,383,383,0,0,42,42,0,0,0,2,1,0,0,0,1,0,47,0,1,0,1,2,14,,,3,,,0
10018020,北區,,,,,,計,154154,777,35,46,32,48,28,11,10,0,2,0,214,339,12,0,707,29,40,22,47,40,17,10,0,1,0,171,329,1,0,453,453,0,0,73,68,2,3,0,2,0,0,1,0,0,0,113,2,2,0,9,3,27,64,63,1,33,31,2
10018020,北區,45,45,782,772,65709,男,75055,352,18,22,17,23,13,5,5,0,1,0,94,151,3,0,315,13,15,12,25,15,7,8,0,0,0,77,143,0,0,217,217,0,0,32,30,0,2,0,1,0,0,0,0,0,0,59,0,2,0,4,2,17,,,0,,,0
10018020,北區,,,,,,女,79099,425,17,24,15,25,15,6,5,0,1,0,120,188,9,0,392,16,25,10,22,25,10,2,0,1,0,94,186,1,0,236,236,0,0,41,38,2,1,0,1,0,0,1,0,0,0,54,2,0,0,5,1,10,,,1,,,2
10018030,香山區,,,,,,計,79629,341,9,9,16,24,10,6,7,0,2,0,101,152,5,0,370,9,21,7,27,22,10,2,0,0,0,93,178,0,1,134,134,0,0,34,32,0,2,0,1,1,1,0,0,0,0,60,0,0,0,0,0,12,39,38,1,18,18,0
10018030,香山區,24,24,375,375,31578,男,40232,179,4,6,10,9,6,4,4,0,2,0,54,78,2,0,177,5,8,6,8,9,6,1,0,0,0,53,81,0,0,60,60,0,0,17,17,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,7,,,1,,,0
10018030,香山區,,,,,,女,39397,162,5,3,6,15,4,2,3,0,0,0,47,74,3,0,193,4,13,1,19,13,4,1,0,0,0,40,97,0,1,74,74,0,0,17,15,0,2,0,1,1,1,0,0,0,0,26,0,0,0,0,0,5,,,0,,,0
