公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,表號,10121-00-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之1,新竹市各區　村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年04月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03310,單位：戶；人；對,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,性別,人口數,遷入人數_合計,遷入人數_自國外,遷入人數_自他省(市)_新北市,遷入人數_自他省(市)_臺北市,遷入人數_自他省(市)_桃園市,遷入人數_自他省(市)_臺中市,遷入人數_自他省(市)_臺南市,遷入人數_自他省(市)_高雄市,遷入人數_自他省(市)_臺灣省,遷入人數_自他省(市)_福建省,遷入人數_自他省(市)_其他省(市),遷入人數_自本省他縣(市),遷入人數_自本縣(市)他鄉(鎮市區),遷入人數_初設戶籍,遷入人數_其他,遷出人數_合計,遷出人數_往國外,遷出人數_往他省(市)_新北市,遷出人數_往他省(市)_臺北市,遷出人數_往他省(市)_桃園市,遷出人數_往他省(市)_臺中市,遷出人數_往他省(市)_臺南市,遷出人數_往他省(市)_高雄市,遷出人數_往他省(市)_臺灣省,遷出人數_往他省(市)_福建省,遷出人數_往他省(市)_其他省(市),遷出人數_往本省他縣(市),遷出人數_往本縣(市)他鄉(鎮市區),遷出人數_廢止戶籍,遷出人數_其他,住址變更人數_入,住址變更人數_出,行政區域調整人數_增,行政區域調整人數_減,嬰兒出生總數_合計,嬰兒出生總數_婚生,嬰兒出生總數_非婚生_已認領,嬰兒出生總數_非婚生_未認領,嬰兒出生總數_無依兒童,生母原屬國籍(地區)_大陸港澳地區,生母原屬國籍(地區)_外國籍,生父原屬國籍(地區)_大陸港澳地區,生父原屬國籍(地區)_外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_合計,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_合計,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
10018000,總計,,,,,,計,455871,1355,47,101,72,93,44,22,29,0,9,0,404,512,22,0,1267,117,62,62,79,37,27,20,0,5,0,341,512,4,1,703,703,0,0,194,189,2,3,0,3,8,1,2,0,11,0,254,3,1,2,7,2,78,121,116,5,77,72,5
10018000,總計,122,122,2182,2162,189896,男,224836,627,18,50,32,48,23,10,16,0,4,0,180,234,12,0,600,51,26,32,36,20,13,11,0,3,0,173,234,1,0,329,329,0,0,94,93,0,1,0,1,5,0,0,0,5,0,137,1,0,0,2,2,46,,,2,,,3
10018000,總計,,,,,,女,231035,728,29,51,40,45,21,12,13,0,5,0,224,278,10,0,667,66,36,30,43,17,14,9,0,2,0,168,278,3,1,374,374,0,0,100,96,2,2,0,2,3,1,2,0,6,0,117,2,1,2,5,0,32,,,3,,,2
10018010,東區,,,,,,計,222055,600,26,45,47,41,22,13,20,0,6,0,197,171,12,0,597,52,39,39,33,16,12,12,0,1,0,178,213,1,1,357,357,0,0,94,94,0,0,0,2,4,0,2,0,5,0,102,0,0,2,4,1,27,51,51,0,29,27,2
10018010,東區,53,53,1025,1015,92566,男,109532,270,9,20,22,26,11,5,8,0,3,0,80,78,8,0,292,22,14,19,15,9,6,9,0,1,0,100,97,0,0,167,167,0,0,48,48,0,0,0,0,4,0,0,0,2,0,59,0,0,0,1,1,18,,,0,,,2
10018010,東區,,,,,,女,112523,330,17,25,25,15,11,8,12,0,3,0,117,93,4,0,305,30,25,20,18,7,6,3,0,0,0,78,116,1,1,190,190,0,0,46,46,0,0,0,2,0,0,2,0,3,0,43,0,0,2,3,0,9,,,0,,,0
10018020,北區,,,,,,計,154218,531,15,39,21,34,16,6,8,0,2,0,147,240,3,0,423,56,19,15,27,14,10,4,0,4,0,99,174,1,0,262,262,0,0,55,52,1,2,0,0,4,1,0,0,6,0,99,2,0,0,3,1,38,42,38,4,35,33,2
10018020,北區,45,45,782,772,65743,男,75089,253,6,23,8,15,10,4,7,0,1,0,66,112,1,0,195,26,8,10,12,8,5,1,0,2,0,44,79,0,0,122,122,0,0,27,26,0,1,0,0,1,0,0,0,3,0,51,1,0,0,1,1,21,,,2,,,1
10018020,北區,,,,,,女,79129,278,9,16,13,19,6,2,1,0,1,0,81,128,2,0,228,30,11,5,15,6,5,3,0,2,0,55,95,1,0,140,140,0,0,28,26,1,1,0,0,3,1,0,0,3,0,48,1,0,0,2,0,17,,,2,,,1
10018030,香山區,,,,,,計,79598,224,6,17,4,18,6,3,1,0,1,0,60,101,7,0,247,9,4,8,19,7,5,4,0,0,0,64,125,2,0,84,84,0,0,45,43,1,1,0,1,0,0,0,0,0,0,53,1,1,0,0,0,13,28,27,1,13,12,1
