公開類,,編製機關,新竹市政府(民政處),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月報,次月5日前編送,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月統計報表之1,新竹市各區村里　村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國115年06月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRRP03310,單位：戶；人；對,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域代碼,區域別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,性別,人口數,遷入人數_合計,遷入人數_自國外,遷入人數_自他省(市)_新北市,遷入人數_自他省(市)_臺北市,遷入人數_自他省(市)_桃園市,遷入人數_自他省(市)_臺中市,遷入人數_自他省(市)_臺南市,遷入人數_自他省(市)_高雄市,遷入人數_自他省(市)_臺灣省,遷入人數_自他省(市)_福建省,遷入人數_自他省(市)_其他省(市),遷入人數_自本省他縣(市),遷入人數_自本縣(市)他鄉(鎮市區),遷入人數_初設戶籍,遷入人數_其他,遷出人數_合計,遷出人數_往國外,遷出人數_往他省(市)_新北市,遷出人數_往他省(市)_臺北市,遷出人數_往他省(市)_桃園市,遷出人數_往他省(市)_臺中市,遷出人數_往他省(市)_臺南市,遷出人數_往他省(市)_高雄市,遷出人數_往他省(市)_臺灣省,遷出人數_往他省(市)_福建省,遷出人數_往他省(市)_其他省(市),遷出人數_往本省他縣(市),遷出人數_往本縣(市)他鄉(鎮市區),遷出人數_廢止戶籍,遷出人數_其他,住址變更人數_入,住址變更人數_出,行政區域調整人數_增,行政區域調整人數_減,嬰兒出生總數_合計,嬰兒出生總數_婚生,嬰兒出生總數_非婚生_已認領,嬰兒出生總數_非婚生_未認領,嬰兒出生總數_無依兒童,生母原屬國籍(地區)_大陸港澳地區,生母原屬國籍(地區)_外國籍,生父原屬國籍(地區)_大陸港澳地區,生父原屬國籍(地區)_外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_合計,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_合計,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
10018000,總計,,,,,,計,455755,1152,49,72,50,80,46,31,30,0,10,0,330,431,22,1,1131,73,55,69,59,59,33,28,0,2,0,318,431,2,2,699,699,0,0,189,177,7,5,0,2,6,0,1,0,6,0,252,10,3,2,18,3,76,136,130,6,69,67,2
10018000,總計,122,122,2182,2162,190065,男,224685,523,18,32,29,36,25,10,13,0,6,0,159,187,7,1,540,35,27,36,27,31,16,20,0,0,0,161,187,0,0,328,328,0,0,78,75,2,1,0,1,2,0,1,0,4,0,154,3,2,2,7,0,31,,,1,,,2
10018000,總計,,,,,,女,231070,629,31,40,21,44,21,21,17,0,4,0,171,244,15,0,591,38,28,33,32,28,17,8,0,2,0,157,244,2,2,371,371,0,0,111,102,5,4,0,1,4,0,0,0,2,0,98,7,1,0,11,3,45,,,5,,,0
10018010,東區,,,,,,計,221916,534,34,34,29,36,28,17,13,0,6,0,166,157,13,1,545,44,33,40,23,30,27,14,0,0,0,156,174,2,2,389,389,0,0,88,85,3,0,0,2,2,0,0,0,4,0,96,3,0,0,10,1,40,67,64,3,37,36,1
10018010,東區,53,53,1025,1015,92585,男,109434,236,9,17,17,12,15,6,3,0,3,0,72,76,5,1,261,23,17,21,12,15,13,10,0,0,0,78,72,0,0,190,190,0,0,38,37,1,0,0,1,2,0,0,0,3,0,62,1,0,0,5,0,18,,,0,,,1
10018010,東區,,,,,,女,112482,298,25,17,12,24,13,11,10,0,3,0,94,81,8,0,284,21,16,19,11,15,14,4,0,0,0,78,102,2,2,199,199,0,0,50,48,2,0,0,1,0,0,0,0,1,0,34,2,0,0,5,1,22,,,3,,,0
10018010001,南門里,,,,,,計,749,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10018010001,南門里,1,1,14,14,399,男,366,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0
10018010001,南門里,,,,,,女,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0
10018010002,福德里,,,,,,計,1617,9,4,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,1,0,0,0,0,0,0,0,0,2,2,0,0,7,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0
